scene,video,frame,video_length,mse,phase
R03,01,8,720,0.009114958345890045,0
R03,01,9,720,0.009107967838644981,0
R03,01,10,720,0.009105111472308636,0
R03,01,11,720,0.009117858484387398,0
R03,01,12,720,0.00913095474243164,0
R03,01,13,720,0.009127737954258919,0
R03,01,14,720,0.009132612496614456,0
R03,01,15,720,0.009123953059315681,0
R03,01,16,720,0.009136416018009186,0
R03,01,17,720,0.00911581888794899,0
R03,01,18,720,0.009118540212512016,0
R03,01,19,720,0.009114604443311691,3
R03,01,20,720,0.009074019268155098,4
R03,01,21,720,0.00907590426504612,4
R03,01,22,720,0.009082257747650146,5
R03,01,23,720,0.009040671400725842,5
R03,01,24,720,0.009003834798932076,5
R03,01,25,720,0.00916039478033781,6
R03,01,26,720,0.00893537886440754,6
R03,01,27,720,0.00893254205584526,6
R03,01,28,720,0.00891017634421587,7
R03,01,29,720,0.008889256045222282,7
R03,01,30,720,0.008864659816026688,7
R03,01,31,720,0.00887429527938366,8
R03,01,32,720,0.008861030451953411,8
R03,01,33,720,0.008890947327017784,8
R03,01,34,720,0.008865214884281158,9
R03,01,35,720,0.00886891596019268,9
R03,01,36,720,0.008834600448608398,10
R03,01,37,720,0.008872049860656261,10
R03,01,38,720,0.008825527504086494,10
R03,01,39,720,0.008835390210151672,10
R03,01,40,720,0.008784926496446133,11
R03,01,41,720,0.008814483880996704,11
R03,01,42,720,0.008814248256385326,11
R03,01,43,720,0.008794336579740047,11
R03,01,44,720,0.008799327537417412,11
R03,01,45,720,0.008820616640150547,12
R03,01,46,720,0.008812695741653442,12
R03,01,47,720,0.008809590712189674,12
R03,01,48,720,0.008798736147582531,12
R03,01,49,720,0.008839349262416363,13
R03,01,50,720,0.00881904736161232,13
R03,01,51,720,0.008836682885885239,13
R03,01,52,720,0.008811794221401215,13
R03,01,53,720,0.008807082660496235,13
R03,01,54,720,0.008776998147368431,14
R03,01,55,720,0.00881798192858696,15
R03,01,56,720,0.008789724670350552,15
R03,01,57,720,0.00881384126842022,15
R03,01,58,720,0.008794846013188362,15
R03,01,59,720,0.00881404709070921,16
R03,01,60,720,0.008762884885072708,16
R03,01,61,720,0.008808830752968788,17
R03,01,62,720,0.008807106874883175,17
R03,01,63,720,0.008846383541822433,17
R03,01,64,720,0.008803112432360649,18
R03,01,65,720,0.008822333067655563,18
R03,01,66,720,0.008782545104622841,19
R03,01,67,720,0.00879693403840065,19
R03,01,68,720,0.008743928745388985,19
R03,01,69,720,0.008730346336960793,19
R03,01,70,720,0.008735785260796547,19
R03,01,71,720,0.008751172572374344,19
R03,01,72,720,0.008748437277972698,20
R03,01,73,720,0.008779038675129414,20
R03,01,74,720,0.008808357641100883,20
R03,01,75,720,0.008787047117948532,20
R03,01,76,720,0.008785338141024113,21
R03,01,77,720,0.00882113166153431,21
R03,01,78,720,0.008803269825875759,21
R03,01,79,720,0.008805779740214348,21
R03,01,80,720,0.0087125888094306,22
R03,01,81,720,0.008780560456216335,22
R03,01,82,720,0.008805799297988415,23
R03,01,83,720,0.008841520175337791,23
R03,01,84,720,0.00887055229395628,23
R03,01,85,720,0.008926406502723694,23
R03,01,86,720,0.008920278400182724,23
R03,01,87,720,0.008927024900913239,24
R03,01,88,720,0.00893633347004652,24
R03,01,89,720,0.008954836055636406,24
R03,01,90,720,0.008949661627411842,25
R03,01,91,720,0.008934274315834045,25
R03,01,92,720,0.008950592949986458,25
R03,01,93,720,0.008996827527880669,25
R03,01,94,720,0.008991753682494164,26
R03,01,95,720,0.009029276669025421,27
R03,01,96,720,0.008996367454528809,27
R03,01,97,720,0.00901756715029478,27
R03,01,98,720,0.009046384133398533,27
R03,01,99,720,0.009063147008419037,27
R03,01,100,720,0.009012843482196331,27
R03,01,101,720,0.009049136191606522,27
R03,01,102,720,0.009105999022722244,27
R03,01,103,720,0.009106263518333435,28
R03,01,104,720,0.009118076413869858,28
R03,01,105,720,0.00910896249115467,28
R03,01,106,720,0.009098093025386333,28
R03,01,107,720,0.009069672785699368,29
R03,01,108,720,0.009085158817470074,30
R03,01,109,720,0.009108240716159344,30
R03,01,110,720,0.009140955284237862,30
R03,01,111,720,0.009125974029302597,31
R03,01,112,720,0.009165491908788681,31
R03,01,113,720,0.009162665344774723,31
R03,01,114,720,0.009168905206024647,32
R03,01,115,720,0.009151214733719826,32
R03,01,116,720,0.009141079150140285,32
R03,01,117,720,0.009151234291493893,33
R03,01,118,720,0.00914903823286295,33
R03,01,119,720,0.009121770039200783,33
R03,01,120,720,0.009057318791747093,33
R03,01,121,720,0.0090783154591918,34
R03,01,122,720,0.009085994213819504,35
R03,01,123,720,0.009078080765902996,35
R03,01,124,720,0.009109575301408768,35
R03,01,125,720,0.009083813056349754,35
R03,01,126,720,0.009095512330532074,35
R03,01,127,720,0.009081090800464153,35
R03,01,128,720,0.009120474569499493,35
R03,01,129,720,0.009144156239926815,36
R03,01,130,720,0.009145425632596016,36
R03,01,131,720,0.009125257842242718,37
R03,01,132,720,0.009152671322226524,37
R03,01,133,720,0.009193082340061665,37
R03,01,134,720,0.009234338067471981,37
R03,01,135,720,0.009207031689584255,37
R03,01,136,720,0.009228309616446495,37
R03,01,137,720,0.009216971695423126,38
R03,01,138,720,0.009245870634913445,38
R03,01,139,720,0.009228033944964409,38
R03,01,140,720,0.009185265749692917,39
R03,01,141,720,0.009214956313371658,39
R03,01,142,720,0.009227380156517029,39
R03,01,143,720,0.009214699268341064,40
R03,01,144,720,0.009249384514987469,40
R03,01,145,720,0.009264923632144928,40
R03,01,146,720,0.0092691108584404,41
R03,01,147,720,0.009290141053497791,42
R03,01,148,720,0.009279530495405197,42
R03,01,149,720,0.009246052242815495,42
R03,01,150,720,0.009256063029170036,42
R03,01,151,720,0.009247910231351852,42
R03,01,152,720,0.0092390738427639,42
R03,01,153,720,0.009239905513823032,42
R03,01,154,720,0.009243992157280445,42
R03,01,155,720,0.00925256684422493,43
R03,01,156,720,0.009245467372238636,43
R03,01,157,720,0.00924768764525652,43
R03,01,158,720,0.009236077778041363,43
R03,01,159,720,0.00921123381704092,44
R03,01,160,720,0.009159653447568417,44
R03,01,161,720,0.009200476109981537,45
R03,01,162,720,0.009200374595820904,45
R03,01,163,720,0.009220286272466183,45
R03,01,164,720,0.009215869009494781,45
R03,01,165,720,0.009212150238454342,45
R03,01,166,720,0.00917823612689972,45
R03,01,167,720,0.009181415662169456,45
R03,01,168,720,0.009196600876748562,46
R03,01,169,720,0.00918492116034031,46
R03,01,170,720,0.009186038747429848,46
R03,01,171,720,0.009182893671095371,47
R03,01,172,720,0.009189288131892681,47
R03,01,173,720,0.009210459887981415,47
R03,01,174,720,0.009202202782034874,47
R03,01,175,720,0.009207445196807384,48
R03,01,176,720,0.009200030006468296,48
R03,01,177,720,0.009230228140950203,48
R03,01,178,720,0.009265223518013954,49
R03,01,179,720,0.009276485070586205,49
R03,01,180,720,0.009219923987984657,49
R03,01,181,720,0.009280082769691944,49
R03,01,182,720,0.00932302325963974,49
R03,01,183,720,0.009336217306554317,49
R03,01,184,720,0.009326376020908356,49
R03,01,185,720,0.009348027408123016,50
R03,01,186,720,0.009364631026983261,50
R03,01,187,720,0.009371105581521988,51
R03,01,188,720,0.009378405287861824,51
R03,01,189,720,0.009381982497870922,51
R03,01,190,720,0.009380737319588661,51
R03,01,191,720,0.009392453357577324,51
R03,01,192,720,0.00938931480050087,51
R03,01,193,720,0.009384463541209698,51
R03,01,194,720,0.009384469129145145,51
R03,01,195,720,0.009377434849739075,51
R03,01,196,720,0.009353790432214737,51
R03,01,197,720,0.009347163140773773,51
R03,01,198,720,0.009347590617835522,51
R03,01,199,720,0.009345943108201027,51
R03,01,200,720,0.009288167580962181,51
R03,01,201,720,0.009313473477959633,51
R03,01,202,720,0.009333522990345955,51
R03,01,203,720,0.009334146045148373,51
R03,01,204,720,0.009324321523308754,51
R03,01,205,720,0.009255431592464447,52
R03,01,206,720,0.009296946227550507,52
R03,01,207,720,0.009290151298046112,52
R03,01,208,720,0.00930112972855568,52
R03,01,209,720,0.00938253104686737,52
R03,01,210,720,0.00961242988705635,52
R03,01,211,720,0.009861966595053673,53
R03,01,212,720,0.010083669796586037,54
R03,01,213,720,0.010530050843954086,54
R03,01,214,720,0.010290900245308876,54
R03,01,215,720,0.010811871849000454,55
R03,01,216,720,0.010395890101790428,55
R03,01,217,720,0.01107831858098507,55
R03,01,218,720,0.011067427694797516,55
R03,01,219,720,0.01182638667523861,56
R03,01,220,720,0.011680359952151775,56
R03,01,221,720,0.013043425045907497,56
R03,01,222,720,0.01229983102530241,56
R03,01,223,720,0.013290546834468842,57
R03,01,224,720,0.013242613524198532,57
R03,01,225,720,0.0123662818223238,57
R03,01,226,720,0.013269970193505287,58
R03,01,227,720,0.011566391214728355,58
R03,01,228,720,0.011800269596278667,58
R03,01,229,720,0.012013247236609459,58
R03,01,230,720,0.01131792739033699,59
R03,01,231,720,0.01107586920261383,59
R03,01,232,720,0.009853193536400795,60
R03,01,233,720,0.009809039533138275,60
R03,01,234,720,0.01022864319384098,61
R03,01,235,720,0.010736620053648949,61
R03,01,236,720,0.010607550852000713,60
R03,01,237,720,0.011555167846381664,61
R03,01,238,720,0.01146704237908125,61
R03,01,239,720,0.01167676504701376,61
R03,01,240,720,0.012361904606223106,61
R03,01,241,720,0.012596486136317253,62
R03,01,242,720,0.011800499632954597,62
R03,01,243,720,0.011165372096002102,63
R03,01,244,720,0.010258730500936508,63
R03,01,245,720,0.010081440210342407,64
R03,01,246,720,0.010159464552998543,64
R03,01,247,720,0.010196734219789505,64
R03,01,248,720,0.010288613848388195,64
R03,01,249,720,0.010183541104197502,65
R03,01,250,720,0.01074227225035429,66
R03,01,251,720,0.011600459925830364,70
R03,01,252,720,0.012001222930848598,121
R03,01,253,720,0.013547349721193314,121
R03,01,254,720,0.010549752973020077,71
R03,01,255,720,0.010002262890338898,120
R03,01,256,720,0.010191843844950199,120
R03,01,257,720,0.010384578257799149,66
R03,01,258,720,0.010227112099528313,64
R03,01,259,720,0.010155299678444862,64
R03,01,260,720,0.009951360523700714,64
R03,01,261,720,0.009842555969953537,64
R03,01,262,720,0.009866582229733467,64
R03,01,263,720,0.009861096739768982,64
R03,01,264,720,0.009842111729085445,64
R03,01,265,720,0.00982900895178318,64
R03,01,266,720,0.009816721081733704,64
R03,01,267,720,0.009834504686295986,64
R03,01,268,720,0.009812838397920132,64
R03,01,269,720,0.009821530431509018,120
R03,01,270,720,0.009778480045497417,74
R03,01,271,720,0.009801293723285198,73
R03,01,272,720,0.009740443900227547,73
R03,01,273,720,0.009711168706417084,74
R03,01,274,720,0.009664447978138924,74
R03,01,275,720,0.009671276435256004,75
R03,01,276,720,0.009707789868116379,75
R03,01,277,720,0.009713969193398952,75
