video,frame,video_length,phase,appearance,temporal,appearance_score,temporal_score,combined_score,label
01,35,411,15,0.058441903442144394,2.4496181784317366,0.6299022315886184,0.014694124543447254,0.3222981780660328,0
01,36,411,16,0.0677189752459526,1.9903147699757857,0.9526187494332072,0.003618512381203447,0.47811863090720536,0
01,37,411,16,0.05743112787604332,1.9053206680325316,0.5947409244528226,0.0015689702008693436,0.29815494732684594,0
01,38,411,16,0.05680962651968002,1.9155646613273727,0.573121090328124,0.0018159931809680569,0.287468541754546,0
01,39,411,18,0.06047150120139122,1.4219283541317433,0.7005047595565971,0.0,0.35025237977829854,0
01,40,411,18,0.05977194383740425,1.208418699944124,0.6761696329872694,0.0,0.3380848164936347,0
01,41,411,18,0.06104445084929466,1.1439125845905522,0.7204356514567526,0.0,0.3602178257283763,0
01,42,411,18,0.05289367586374283,1.2161172161172171,0.43689901654655394,0.0,0.21844950827327697,0
01,43,411,20,0.04984312504529953,1.0255789408331797,0.33078114245271945,0.0,0.16539057122635972,0
01,44,411,20,0.049479689449071884,0.7910846215930982,0.31813850342224304,0.0,0.15906925171112152,0
01,45,411,20,0.05092771723866463,0.7552616874650788,0.3685102689838441,0.0,0.18425513449192205,0
01,46,411,21,0.05282856523990631,0.6963432048177813,0.434634048219955,0.0,0.2173170241099775,0
01,47,411,21,0.05222316458821297,0.678959458620476,0.4135743006673791,0.0,0.20678715033368955,0
01,48,411,22,0.05054151266813278,0.6881480101819084,0.35507557786433164,0.0,0.17753778893216582,0
01,49,411,23,0.05141068622469902,0.8980567455143739,0.38531105189208575,0.0,0.19265552594604288,0
01,50,411,23,0.055433403700590134,0.6318370894642081,0.525247165737755,0.0,0.2626235828688775,0
01,51,411,23,0.05832963436841965,0.7091947600422183,0.625996787575647,0.0,0.3129983937878235,0
01,52,411,23,0.04852105304598808,1.0312907431551497,0.2847909333672962,0.0,0.1423954666836481,0
01,53,411,26,0.05408379063010216,1.4039237598559633,0.4782989001905772,0.0,0.2391494500952886,0
01,54,411,25,0.05450437217950821,0.4429130191842075,0.49292944482409906,0.0,0.24646472241204953,0
01,55,411,25,0.05488106608390808,0.6237039796361831,0.5060332935052428,0.0,0.2530166467526214,0
