video,start,end,cold_start,detected,delay_frames,alarm_preexisting_at_onset,any_raw_threshold_crossing,max_score,max_appearance,max_temporal
02,67,352,False,False,,False,True,1.0536713933846777,1.1955641095142695,1.1711534883081784
03,65,380,False,False,,False,False,0.6277614751225427,0.7536632000363094,1.0049057194766
04,261,378,False,False,,False,False,0.6249702592966778,0.6681261675979764,1.0136366633910876
06,92,504,False,False,,False,False,0.5949690869560604,0.5252023736814571,1.1124778051911508
07,122,203,False,False,,False,False,0.3318778690688499,0.41297594454950837,0.6637557381376998
07,412,480,False,False,,False,False,0.3943141716988341,0.7549909050874961,0.3997151641110749
08,134,243,False,False,,False,False,0.061753258794677114,0.05302713096826846,0.07047938662108577
11,170,239,False,False,,False,True,0.9074185011547398,0.7914210583988875,1.023415943910592
11,279,334,False,False,,False,False,0.6612492024922129,0.8284743957928631,0.6780428660587782
12,155,239,False,False,,False,False,0.6625457287232315,0.4754273891198493,0.9636154239498026
12,531,609,False,False,,False,True,0.7598247615595977,0.652001794461822,1.1277282694519748
17,95,181,False,False,,False,False,0.6518136699460129,0.7288668794937552,0.8321384302986848
18,65,205,False,False,,False,False,0.6698204439184853,0.7794727761654751,0.9951646890764676
19,166,276,False,False,,False,False,0.6948466606350533,0.5392715285081467,1.094005830876531
