scene,video,frame,video_length,phase,conditional_nn,conditional_soft,unconditional_nn,unconditional_soft,label,phase_error,phase_error_normalized,conditional_nn_normalized,conditional_soft_normalized,unconditional_nn_normalized,unconditional_soft_normalized,conditional_nn_with_phase,conditional_soft_with_phase,unconditional_nn_with_phase,unconditional_soft_with_phase
R03,01,10,720,0,0.04403572902083397,0.05777585133910179,0.032054584473371506,0.05784988030791283,1,0.3445800430725058,0.0016189645665752501,0.0721215275239948,0.1138466283331998,0.07912365471911308,0.04932048913237559,0.03687024604528502,0.057732796449887526,0.04037130964284416,0.025469726849475422
R03,01,11,720,0,0.044930435717105865,0.058980271220207214,0.03248782828450203,0.058465439826250076,1,0.3445800430725058,0.0016189645665752501,0.07825713661714574,0.12193634568038884,0.08308573724389767,0.05381120887866588,0.039938050591860494,0.061777655123482045,0.04235235090523646,0.027715086722620567
R03,01,12,720,0,0.04610254243016243,0.06019434705376625,0.03348888084292412,0.06048712879419327,1,0.3445800430725058,0.0016189645665752501,0.08629506528889856,0.13009091908591192,0.09224051971560888,0.06856012965520346,0.043957014927736904,0.06585494182624359,0.046929742141092065,0.03508954711088935
R03,01,13,720,0,0.04531995952129364,0.05949968099594116,0.03320993110537529,0.05966371297836304,1,0.3445800430725058,0.0016189645665752501,0.08092836485868218,0.1254250611516064,0.08968948066544576,0.0625530262746159,0.041273664712628715,0.06352201285909083,0.0456542226160105,0.03208599542059557
R03,01,14,720,0,0.044665414839982986,0.05891984701156616,0.03227360174059868,0.058870382606983185,1,0.3445800430725058,0.0016189645665752501,0.07643970917379975,0.12153049488325234,0.08112660193916102,0.05676540662459297,0.039029336870187496,0.06157472972491379,0.04137278325286813,0.029192185595584112
R03,01,15,720,0,0.045454226434230804,0.059758927673101425,0.033448684960603714,0.05950543284416199,1,0.3445800430725058,0.0016189645665752501,0.08184912391341963,0.1271663412270396,0.09187292207469996,0.061398317911041035,0.041734044239997437,0.06439265289680743,0.046745943320637605,0.031508641238808144
R03,01,16,720,0,0.04442485794425011,0.05896510183811188,0.03269460052251816,0.05896143242716789,1,0.3445800430725058,0.0016189645665752501,0.07479004780093987,0.12183445761343817,0.08497670175350377,0.057429646577382774,0.03820450618375756,0.06172671109000671,0.04329783316003951,0.029524305571979013
R03,01,17,720,0,0.04632757231593132,0.060187045484781265,0.033266469836235046,0.05957740172743797,1,0.3445800430725058,0.0016189645665752501,0.08783824745027889,0.1300418766961223,0.09020653621651849,0.06192335582470849,0.04472860600842707,0.06583042063134878,0.04591275039154687,0.03177116019564187
R03,01,18,720,0,0.0459662564098835,0.06006906181573868,0.03284308314323425,0.058894045650959015,1,0.3445800430725058,0.0016189645665752501,0.08536045984917506,0.12924941673335347,0.08633459858124685,0.05693803672074783,0.043489712207875154,0.06543419064996436,0.04397678157391105,0.02927850064366154
R03,01,19,720,0,0.04560081660747528,0.05960662290453911,0.03240521252155304,0.058090388774871826,1,0.3445800430725058,0.0016189645665752501,0.08285439190087644,0.12614335701063215,0.08233020314913983,0.05107508164463214,0.042236678233725844,0.0638811607886037,0.04197458385785754,0.026347023105603697
R03,01,20,720,0,0.0426316037774086,0.056290119886398315,0.030959753319621086,0.057094868272542953,1,0.3445800430725058,0.0016189645665752501,0.062492490826961546,0.10386742781122864,0.0691112523017651,0.04381241500644727,0.0320557276967684,0.05274319618890194,0.03536510843417017,0.02271568978651126
R03,01,21,720,0,0.04373054951429367,0.056458767503499985,0.032095327973365784,0.057307325303554535,1,0.3445800430725058,0.0016189645665752501,0.0700287051910736,0.10500018190723151,0.07949626040943938,0.04536236258418774,0.03582383487882442,0.05330957323690338,0.040557612488007315,0.023490663575381498
R03,01,22,720,0,0.0432240292429924,0.0572461374104023,0.031612809747457504,0.05722666531801224,1,0.3445800430725058,0.0016189645665752501,0.06655515302541852,0.11028870304047303,0.07508355564218004,0.044773920071287096,0.03408705879599688,0.05595383380352414,0.038351260104377644,0.023196442318931174
R03,01,23,720,0,0.04282418638467789,0.05612241476774216,0.03177620843052864,0.05691130459308624,1,0.3445800430725058,0.0016189645665752501,0.0638131600488057,0.102741004186969,0.07657786219691101,0.04247325442898655,0.032716062307690474,0.052179984376772126,0.03909841338174313,0.0220461094977809
R03,01,24,720,0,0.04335388168692589,0.057272911071777344,0.0323198065161705,0.05816721171140671,1,0.3445800430725058,0.0016189645665752501,0.0674456390797713,0.11046853347691077,0.08154915185020767,0.051635531556928335,0.034532301823173274,0.05604374902174301,0.04158405820839146,0.026627248061751794
R03,01,25,720,0,0.04266780614852905,0.05752333998680115,0.03182578831911087,0.05798918381333351,1,0.3445800430725058,0.0016189645665752501,0.06274075497695152,0.11215058736018478,0.0770312780451832,0.050336756420728025,0.03217985977176338,0.05688477596338001,0.03932512130587922,0.02597786049365164
R03,01,26,720,0,0.042142290621995926,0.05653274431824684,0.030588427558541298,0.0565832182765007,1,0.3445800430725058,0.0016189645665752501,0.05913693949571722,0.10549706138500813,0.06571542004477912,0.040079751190894915,0.030377952031146235,0.053558012975791686,0.033667192305677184,0.020849357878735084
R03,01,27,720,0,0.04304700344800949,0.05709117278456688,0.03169240057468414,0.057418253272771835,1,0.3445800430725058,0.0016189645665752501,0.06534116738974005,0.1092478533820708,0.07581142622587042,0.04617162051447791,0.03348006597815765,0.05543340897432302,0.03871519539622283,0.02389529254052658
R03,01,28,720,0,0.04164014011621475,0.056278958916664124,0.031231611967086792,0.05651712045073509,1,1.3148600143575038,0.028046410317575404,0.055693353768417574,0.10379246301540737,0.07159744222222755,0.0395975446738805,0.04186988204299649,0.06591943666649139,0.04982192626990148,0.03382197749572795
R03,01,29,720,0,0.04168586805462837,0.05580531433224678,0.03160910680890083,0.05667472258210182,1,2.4,0.057602290013647986,0.056006941177465415,0.10061113823733545,0.07504969168897677,0.04074730677210583,0.056804615595556704,0.07910671412549172,0.06632599085131238,0.0491747983928769
R03,01,30,720,6,0.041687194257974625,0.056703027337789536,0.03187058866024017,0.058212220668792725,1,2.4,0.057602290013647986,0.056016035850998694,0.10664079997545879,0.07744098418323424,0.05196388747974681,0.05680916293232334,0.08212154499455339,0.06752163709844111,0.0547830887466974
R03,01,31,720,6,0.04156539589166641,0.056707512587308884,0.031905025243759155,0.05823411047458649,1,1.3148600143575038,0.028046410317575404,0.055180782055575556,0.10667092601490098,0.07775591213435214,0.052123581189602905,0.04161359618657548,0.0673586681662382,0.05290116122596377,0.040084995753589155
R03,01,32,720,6,0.043675947934389114,0.05834357067942619,0.03260689601302147,0.058691706508398056,1,0.3445800430725058,0.0016189645665752501,0.06965426521922723,0.117659824269107,0.08417463027436395,0.05546190264130026,0.035636614892901236,0.05963939441784112,0.0428967974204696,0.028540433603937758
R03,01,33,720,6,0.044359318912029266,0.058116525411605835,0.03205537796020508,0.05822676792740822,1,0.3445800430725058,0.0016189645665752501,0.0743406023192797,0.11613483114129698,0.07913091128051378,0.052070014766504476,0.037979783442927476,0.058876897853936114,0.04037493792354451,0.026844489666539864
R03,01,34,720,6,0.041983358561992645,0.056600477546453476,0.030956363305449486,0.05593445897102356,1,0.5148600143575038,0.006256867890145306,0.0580470348413622,0.10595200461518914,0.06908025009108602,0.035346827506170735,0.03215195136575375,0.05610443625266722,0.037668558990615664,0.02080184769815802
R03,01,35,720,6,0.04250149056315422,0.05731911212205887,0.03152863308787346,0.057167936116456985,1,0.8,0.014023205158787782,0.06160021649410503,0.11077885170046729,0.07431374690316447,0.04434547021834609,0.0378117108264464,0.06240102842962754,0.04416847603097613,0.029184337688566937
R03,01,36,720,8,0.04447143152356148,0.05982063338160515,0.03207109123468399,0.05853459984064102,1,0.8,0.014023205158787782,0.07510943434170697,0.12758079946401674,0.07927461163726575,0.054315755121599585,0.04456631975024738,0.07080200231140225,0.04664890839802677,0.034169480140193685
R03,01,37,720,8,0.043884988874197006,0.05928415060043335,0.03193160146474838,0.058197204023599625,1,0.5148600143575038,0.006256867890145306,0.07108780036149284,0.12397740987422479,0.07799895583873066,0.05185433585543947,0.03867233412581907,0.06511713888218505,0.042127911864437984,0.029055601872792387
R03,01,38,720,8,0.04401776194572449,0.05869362875819206,0.03125966712832451,0.05663333088159561,1,0.3445800430725058,0.0016189645665752501,0.07199831513508745,0.12001105655673482,0.07185401106686937,0.04044533999024553,0.03680863985083135,0.06081501056165503,0.036736487816722306,0.02103215227841039
R03,01,39,720,8,0.04360005259513855,0.05798953399062157,0.030517926439642906,0.05640815198421478,1,0.3445800430725058,0.0016189645665752501,0.06913379953413301,0.11528186888336935,0.0650706762677447,0.0388025819939961,0.03537638205035413,0.058450416724972296,0.03334482041715997,0.020210773280285678
R03,01,40,720,8,0.045636892318725586,0.05881759151816368,0.032674599438905716,0.05717548355460167,1,0.3445800430725058,0.0016189645665752501,0.0831017874584503,0.12084367623155073,0.08479378871049728,0.044400531391962234,0.042360376012512774,0.06123132039906299,0.04320637663853626,0.023009747979268743
R03,01,41,720,8,0.044889114797115326,0.05903766304254532,0.03165488317608833,0.05677030235528946,1,0.3445800430725058,0.0016189645665752501,0.07797377111481103,0.1223218288727862,0.0754683237382343,0.04144459429997817,0.03979636784069314,0.06197039671968072,0.03854364415240477,0.02153177943327671
R03,01,42,720,8,0.04519882798194885,0.059407398104667664,0.03172018378973007,0.05732163041830063,1,0.3445800430725058,0.0016189645665752501,0.08009768394686145,0.12480522539657153,0.07606550807998523,0.0454667233476063,0.04085832425671835,0.06321209498157339,0.03884223632328024,0.023542843957090775
R03,01,43,720,8,0.04570397362112999,0.060042865574359894,0.03101149946451187,0.057642314583063126,1,0.3445800430725058,0.0016189645665752501,0.08356180933011828,0.12907346464916952,0.06958447890334483,0.047806225326085264,0.04259038694834676,0.06534621460787239,0.03560172173496004,0.024712594946330258
R03,01,44,720,8,0.04420233517885208,0.058200135827064514,0.030398651957511902,0.05645405128598213,1,0.7148600143575038,0.01170425349700283,0.07326405866003116,0.11669641654764296,0.06397989244311064,0.0391374332872461,0.042484156078516994,0.06420033502232289,0.037842072970056734,0.025420843392124467
R03,01,45,720,8,0.04279736056923866,0.05741990730166435,0.030353130772709846,0.05613341182470322,1,1.2,0.02491797637250283,0.06362919728444288,0.11145586187421097,0.06356359407674489,0.036798257436152816,0.044273586828472856,0.06818691912335689,0.04424078522462386,0.030858116904327822
