video,start,end,cold_start,detected,delay_frames,alarm_preexisting_at_onset,any_raw_threshold_crossing,max_score,max_appearance,max_temporal
03,65,380,False,False,,False,False,0.6276462798494209,0.7382562860646782,1.0238109722314994
04,261,378,False,False,,False,False,0.6386669226828884,0.6552980628114619,1.0412717414011676
06,92,504,False,False,,False,False,0.6262889510153667,0.5796366843434199,1.0869673082979965
07,122,203,False,False,,False,False,0.29468863391096034,0.4364838069936624,0.5893772678219207
07,412,480,False,False,,False,False,0.47772803312257833,0.7290997111768517,0.5861105607839984
08,134,243,False,False,,False,False,0.07326941067524079,0.07547907021222724,0.07105975113825433
09,128,333,False,False,,False,True,0.8598660083911663,1.149742351496466,0.9824326830844841
10,88,222,False,False,,False,True,0.8625512073364476,0.5348600240066649,1.7251024146728953
11,170,239,False,False,,False,False,0.6079333940101675,0.8118566384972091,0.9149207376340907
11,279,334,False,False,,False,False,0.6954401626554183,0.9264920166411461,0.6378142564007263
12,155,239,False,False,,False,False,0.7176053285302925,0.4100266699185612,1.030344386307344
12,531,609,False,False,,False,False,0.724257754886267,0.6558217509111949,1.0859167375861052
17,95,181,False,False,,False,False,0.6918441473078887,0.7871033466796571,0.9214541517099352
18,65,205,False,False,,False,True,0.7692477317279511,0.719557407605018,0.9465372373014217
19,166,276,False,False,,False,False,0.5950095961064198,0.5882635959883876,1.102211941141634
