video,start,end,frames,mean_appearance,mean_temporal
01,37,42,6,2.7026241405434592,0.07632337959594088
01,184,229,46,2.6420248433392826,0.00952995772900065
02,37,45,9,2.8601022620175742,0.0
02,173,255,83,2.6233724352188603,0.008989217334180483
03,37,64,28,2.646838662223074,0.16758252922115352
03,260,408,149,2.7514179317443124,0.11247881266680101
04,37,53,17,2.7646407190099005,0.0
04,144,190,47,2.6170139818233222,0.010813109218244226
05,37,93,57,2.5828916404488864,7.460801693979999e-05
05,186,289,104,2.6096450583561253,0.013186644170959426
06,230,232,3,2.8544542946203073,0.1008588477000686
07,200,230,31,2.582393414905859,0.015455893057657924
08,224,234,11,2.5977011407491664,0.00503445854913778
09,37,228,192,2.40907327408521,0.09191842395902833
10,37,230,194,2.0852369752533066,0.04191229698288164
11,42,44,3,1.3599088095702616,0.0
11,83,86,4,1.7334147817005179,0.0
11,90,231,142,1.7353819894316485,0.08132707308508445
12,68,69,2,2.292273928557124,0.023696749647029468
12,86,86,1,1.5960787133553487,0.0
12,120,120,1,1.3507222234098222,0.0
12,156,172,17,0.9727507036256015,0.5390520655293854
12,176,177,2,0.9769992577399887,0.3872162296510363
12,198,207,10,1.7229918782318152,0.48317034631748246
12,229,230,2,1.2565553731388763,0.11456185347801184
13,128,128,1,0.6897078414547124,0.628424570150884
13,161,172,12,1.306635406875101,0.5973604860755408
14,119,124,6,0.7308645685101172,0.7286061428527325
