video,start,end,frames,mean_appearance,mean_temporal
01,37,42,6,2.802856373454915,0.023727899881497868
01,184,229,46,2.7312638672099405,0.021458853744556968
02,37,45,9,2.960002005661561,0.0
02,173,255,83,2.7131968410757166,0.013269046105720017
03,37,64,28,2.737321761467665,0.17293713002563307
03,260,408,149,2.837430755989107,0.08318341931052799
04,37,53,17,2.84267694601009,0.0
04,144,190,47,2.706399273902865,0.008171273549117307
05,37,93,57,2.6743028472364623,0.0
05,186,289,104,2.702566561076182,0.01222372794854559
06,230,232,3,2.916731459230441,0.1553030794910035
07,200,230,31,2.673951669745505,0.01682653431683387
08,224,234,11,2.695435514866648,0.0018661160277391212
09,37,228,192,2.478578370626151,0.10014291783162708
10,37,230,194,2.1185935028944365,0.036379701896804374
11,39,44,6,1.380523199480298,0.0
11,50,50,1,1.7910474152996527,0.0
11,54,54,1,1.348061766487794,0.0
11,83,231,149,1.7841803557929792,0.07905862304388776
12,68,69,2,2.325165925341186,0.009914025174132255
12,86,86,1,1.5960198493727449,0.0
12,120,120,1,1.3736925044276123,0.07681496583282306
12,155,177,23,1.021403923500338,0.4650438920636595
12,193,207,15,1.7159720411304464,0.5994530721158344
12,225,230,6,1.2697144772286304,0.11873106471136456
13,149,152,4,0.9675014791755527,0.6166673492443865
13,159,171,13,1.2831061960099892,0.5768172325543316
14,119,124,6,0.744108294880101,0.8869140195137319
14,128,128,1,0.8648715786896076,0.4657843766949986
