scene,video,variant,frame,source_frame,phase,label,unconditional,top3_weighted,time5,time21,appearance_time_max
R01,03,normal,18,18,18,0,0.014460289850831032,0.022876890376210213,1.5448275862068954,2.540229885057472,0.4051435156086322
R01,03,normal,19,19,18,0,0.012406584806740284,0.020556259900331497,1.0344827586206862,2.275862068965517,0.3629792583280957
R01,03,normal,20,20,18,0,0.012366206385195255,0.020084144547581673,1.0344827586206862,2.0459770114942533,0.33252601165182066
R01,03,normal,21,21,18,0,0.013449857011437416,0.02191150188446045,1.0344827586206862,1.7553366174055836,0.3627809147499045
R01,03,normal,22,22,18,0,0.012429957278072834,0.02060619555413723,1.0344827586206862,1.6830870279146144,0.34116942380599385
R01,03,normal,23,23,18,0,0.011904394254088402,0.021230261772871017,1.0344827586206862,1.866995073891626,0.3515018654108899
R01,03,normal,24,24,18,0,0.01217088382691145,0.021393194794654846,1.1448275862068953,2.3661740558292284,0.3773831971506393
R01,03,normal,25,25,18,0,0.01174280047416687,0.021646661683917046,1.6,3.3152709359605916,0.5287554996857327
R01,03,normal,26,26,22,0,0.010886364616453648,0.020897943526506424,1.6,2.2085385878489325,0.3522417766603815
R01,03,normal,27,27,22,0,0.01134405005723238,0.021697156131267548,1.1448275862068953,2.5106732348111658,0.4004294992667088
R01,03,normal,28,28,22,0,0.010323801077902317,0.019303280860185623,1.0344827586206862,2.862068965517241,0.4564739157762416
R01,03,normal,29,29,22,0,0.011488408781588078,0.020917586982250214,0.9448275862068953,3.4203612479474543,0.5455164466792376
R01,03,normal,30,30,22,0,0.011331279762089252,0.02159378118813038,2.2,4.142857142857143,0.6607479572595857
R01,03,normal,31,31,25,0,0.011228964664041996,0.02161661721765995,2.165517241379314,2.830870279146142,0.45149800963754494
R01,03,normal,32,32,30,0,0.010722768492996693,0.02212579734623432,2.6,2.9146141215106742,0.4648543892729944
R01,03,normal,33,33,30,0,0.011812827549874783,0.023200523108243942,1.8551724137931047,2.651888341543515,0.42295202178923147
R01,03,normal,34,34,30,0,0.009937498718500137,0.021925702691078186,2.4,2.7307060755336616,0.4355227320343602
R01,03,normal,35,35,36,0,0.012565065175294876,0.02487153187394142,2.4,4.428571428571429,0.7063167818981777
R01,03,normal,36,36,36,0,0.011714348569512367,0.023565534502267838,1.5448275862068954,3.3678160919540225,0.5371359731824851
R01,03,normal,37,37,36,0,0.01133368257433176,0.023264450952410698,1.0344827586206862,2.632183908045976,0.419809344227949
R01,03,normal,38,38,36,0,0.010644393041729927,0.021028049290180206,1.0344827586206862,2.175697865353037,0.3481539055206348
R01,03,normal,39,39,36,0,0.01189805381000042,0.02087838016450405,1.1448275862068953,2.050903119868638,0.34567588723558423
R01,03,normal,40,40,36,0,0.011286573484539986,0.02181912586092949,1.6,2.284072249589492,0.3642887073119635
