video,frame,video_length,phase,appearance,temporal,appearance_score,temporal_score,combined_score,label,threshold,above_threshold,alarm_active,new_alarm
01,35,583,11,0.007496481295675039,0.6137970031099811,0.028914998477466758,0.0,0.0,0,1.0,False,False,False
01,36,583,12,0.007451656274497509,0.37412658023345036,0.027461488831514332,0.0,0.0,0,1.0,False,False,False
01,37,583,12,0.006995403673499823,0.416575790621593,0.012666904487325558,0.0,0.0,0,1.0,False,False,False
01,38,583,12,0.006864859256893396,0.6121006502685906,0.00843383189130438,0.0,0.0,0,1.0,False,False,False
01,39,583,13,0.0070089660584926605,0.3809119915990148,0.013106682470500097,0.0,0.0,0,1.0,False,False,False
01,40,583,14,0.007269721012562513,0.7569368714406877,0.021562001196827905,0.0,0.0,0,1.0,False,False,False
01,41,583,14,0.0072575160302221775,0.5051900319075897,0.021166238761153925,0.0,0.0,0,1.0,False,False,False
01,42,583,14,0.0071343169547617435,0.363948463185105,0.017171348410852754,0.0,0.0,0,1.0,False,False,False
01,43,583,16,0.007169374730437994,1.6549133648370287,0.0183081424105533,0.21187558706421306,0.21187558706421306,0,1.0,False,False,False
01,44,583,16,0.007200261577963829,1.3062724665778105,0.019309688637024855,0.12535730012829915,0.12535730012829915,0,1.0,False,False,False
01,45,583,17,0.007721700705587864,1.8453895553132191,0.03621803093934768,0.25914391899073885,0.25914391899073885,0,1.0,False,False,False
01,46,583,17,0.007748225703835487,1.4508259622763438,0.03707813852656101,0.1612295138613431,0.1612295138613431,0,1.0,False,False,False
01,47,583,17,0.007073096465319395,1.1208853346257928,0.015186194369721193,0.07935186256622245,0.07935186256622245,0,1.0,False,False,False
01,48,583,17,0.00733808521181345,0.9014903671392217,0.02377879932516567,0.02490708329885842,0.02490708329885842,0,1.0,False,False,False
01,49,583,17,0.007881442084908485,0.7671149884890337,0.04139785304764504,0.0,0.0,0,1.0,False,False,False
01,50,583,17,0.007803801447153091,0.69736257522517,0.03888025432865251,0.0,0.0,0,1.0,False,False,False
01,51,583,17,0.007829471491277218,0.7075003029201499,0.03971263891579344,0.0,0.0,0,1.0,False,False,False
01,52,583,19,0.008073016069829464,1.2229088412294504,0.047609888818768535,0.10466988768208384,0.10466988768208384,0,1.0,False,False,False
01,53,583,20,0.007169926539063454,1.7025324124560757,0.01832603552334512,0.22369267004584437,0.22369267004584437,0,1.0,False,False,False
01,54,583,20,0.00711596105247736,1.263742477482935,0.01657613439132461,0.11480311151111662,0.11480311151111662,0,1.0,False,False,False
01,55,583,21,0.007845275104045868,1.750151460075124,0.04022509162628194,0.23550975302747598,0.23550975302747598,0,1.0,False,False,False
01,56,583,21,0.007503709755837917,1.307968819419201,0.02914939070520301,0.12577826491644875,0.12577826491644875,0,1.0,False,False,False
01,57,583,21,0.008099178783595562,0.9848136031342143,0.04845824886019955,0.04558447277392707,0.04558447277392707,0,1.0,False,False,False
01,58,583,21,0.008046604692935944,0.76877095197706,0.04675346555182627,0.0,0.0,0,1.0,False,False,False
01,59,583,21,0.008061853237450123,0.6785815259097706,0.047247919451810255,0.0,0.0,0,1.0,False,False,False
01,60,583,21,0.008062656968832016,0.724463831334061,0.04727398148782602,0.0,0.0,0,1.0,False,False,False
01,61,583,24,0.007877823896706104,2.131103841027505,0.04128052858655435,0.3300464168805276,0.3300464168805276,0,1.0,False,False,False
01,62,583,24,0.008577590808272362,1.6872248475301914,0.06397138135495749,0.21989396398135078,0.21989396398135078,0,1.0,False,False,False
