layer,M,N,K,kind,scene,relative_l2,cosine,max_abs,pass
proj,64,768,768,bf16,R01,0.0,1.7695128917694092e-08,0.0,True
proj,64,768,768,bf16,R02,0.0,2.1420419216156006e-08,0.0,True
proj,64,768,768,bf16,R03,0.0,2.60770320892334e-08,0.0,True
proj,64,768,768,bf16,R04,0.0,1.7695128917694092e-08,0.0,True
proj,64,768,768,native_int4,R01,0.0,2.1420419216156006e-08,0.0,True
proj,64,768,768,native_int4,R02,0.0,1.4901161193847656e-08,0.0,True
proj,64,768,768,native_int4,R03,0.0,1.862645149230957e-08,0.0,True
proj,64,768,768,native_int4,R04,0.0,2.421438694000244e-08,0.0,True
proj,64,768,768,packed_int4,R01,0.0,2.1420419216156006e-08,0.0,True
proj,64,768,768,packed_int4,R02,0.0,1.5832483768463135e-08,0.0,True
proj,64,768,768,packed_int4,R03,0.0,1.862645149230957e-08,0.0,True
proj,64,768,768,packed_int4,R04,0.0,2.514570951461792e-08,0.0,True
proj,64,768,768,dequant_only,R01,0.0,1.9480165036611652e-08,0.0,True
proj,64,768,768,dequant_only,R02,0.0,1.9480165036611652e-08,0.0,True
proj,64,768,768,dequant_only,R03,0.0,1.9480165036611652e-08,0.0,True
proj,64,768,768,dequant_only,R04,0.0,1.9480165036611652e-08,0.0,True
proj,64,768,768,predequant_gemm,R01,0.0,2.1420419216156006e-08,0.0,True
proj,64,768,768,predequant_gemm,R02,0.0,1.5832483768463135e-08,0.0,True
proj,64,768,768,predequant_gemm,R03,0.0,1.862645149230957e-08,0.0,True
proj,64,768,768,predequant_gemm,R04,0.0,2.514570951461792e-08,0.0,True
proj,64,768,768,fused_int4,R01,1.1451696082076523e-05,2.1420419216156006e-08,0.00048828125,True
proj,64,768,768,fused_int4,R02,0.0,1.5832483768463135e-08,0.0,True
proj,64,768,768,fused_int4,R03,0.0,1.862645149230957e-08,0.0,True
proj,64,768,768,fused_int4,R04,0.0,2.514570951461792e-08,0.0,True
