video,start,end,frames,mean_appearance,mean_temporal
01,378,397,20,1.2847679749411063,0.30534907303878195
01,407,410,4,1.3396884171534358,0.0790847813558433
08,433,438,6,0.7024370534056205,0.8719696611865252
08,580,580,1,0.38149364146676323,0.951887334166176
08,585,595,11,0.8897985703177645,1.1947414101858722
11,255,256,2,0.779750336635942,0.632177467896183
11,394,396,3,1.445448624206372,0.004737351818337384
11,404,404,1,1.1635105826454402,1.0803871913045526
11,408,423,16,1.0722183455455276,0.9550088063692413
12,631,633,3,0.4454309732555523,0.9984763672491154
17,496,509,14,1.0386502648757754,0.6885420165824715
17,550,552,3,0.9106284690557055,0.4888689573781315
17,557,572,16,1.0606536987924968,0.9830645349032626
