scene,video,frame,video_length,phase,conditional_nn,conditional_soft,unconditional_nn,unconditional_soft,label,phase_error,phase_error_normalized,conditional_nn_normalized,conditional_soft_normalized,unconditional_nn_normalized,unconditional_soft_normalized,conditional_nn_with_phase,conditional_soft_with_phase,unconditional_nn_with_phase,unconditional_soft_with_phase
R01,01,10,230,6,0.13550560176372528,0.15759119391441345,0.09677860140800476,0.15180131793022156,0,0.8367170626349889,0.010291479631797463,0.45648042544249745,0.47585788273548474,0.42512332959285326,0.4577629035960111,0.23338595253714745,0.2430746811836411,0.21770740461232535,0.23402719161390426
R01,01,11,230,6,0.13502168655395508,0.15728022158145905,0.09674394130706787,0.1516246646642685,0,0.691144708423326,0.0074533219919318775,0.45452959560543965,0.4746667635056284,0.4249457728034735,0.4570412377977682,0.23099145879868577,0.24106004274878015,0.2161995473977027,0.23224727989485003
R01,01,12,230,7,0.13812080025672913,0.16139236092567444,0.09781729429960251,0.15478678047657013,0,2.2,0.036870783819974905,0.46702319646307194,0.4904175159992971,0.4304443462661591,0.46995914689788865,0.25194699014152344,0.263644149909636,0.23365756504306698,0.25341496535893177
R01,01,13,230,7,0.13812382519245148,0.16174843907356262,0.09804107993841171,0.15494267642498016,0,4.2,0.07586386949527957,0.4670353910267955,0.4917814043081114,0.43159075549354725,0.4705960146820487,0.2714496302610375,0.2838226369016955,0.2537273124944134,0.27322994208866414
R01,01,14,230,18,0.13418667018413544,0.15733705461025238,0.09617795050144196,0.1515098214149475,0,4.4,0.07976317806281003,0.4511633553720537,0.47488445140359536,0.42204631470759624,0.4565720789359328,0.26546326671743187,0.27732381473320267,0.2509047463852031,0.2681676284993714
R01,01,15,230,18,0.13386912643909454,0.15588907897472382,0.09572463482618332,0.15127769112586975,0,2.545572354211663,0.04360825002737095,0.44988322653979196,0.4693382614661956,0.4197240688485611,0.45562377781361924,0.24674573828358146,0.25647325574678326,0.23166615943796603,0.2496160139204951
R01,01,16,230,18,0.13152723014354706,0.1536809504032135,0.09426909685134888,0.1485290229320526,0,1.0367170626349889,0.014190788199327928,0.4404422313480544,0.4608804530864815,0.4122676378905998,0.44439488931561155,0.22731650977369117,0.23753562064290473,0.21322921304496387,0.22929283875746975
R01,01,17,230,18,0.13010592758655548,0.15186811983585358,0.09419317543506622,0.14794768393039703,0,1.0367170626349889,0.014190788199327928,0.43471246840676886,0.4539367570710219,0.4118787076060384,0.4420199970518537,0.2244516283030484,0.23406377263517492,0.21303474790268317,0.22810539262559082
R01,01,18,230,18,0.1299377679824829,0.1506490409374237,0.09238691627979279,0.14601805806159973,0,1.0367170626349889,0.014190788199327928,0.43403455879287517,0.449267311706425,0.40262560193903313,0.43413706895877385,0.22411267349610156,0.23172904995287646,0.20840819506918054,0.2241639285790509
R01,01,19,230,18,0.12996970117092133,0.15182462334632874,0.09220100939273834,0.14688833057880402,0,1.0367170626349889,0.014190788199327928,0.4341632925370111,0.4537701522010257,0.40167323800769106,0.43769231548891124,0.22417704036816952,0.23398047020017682,0.2079320131035095,0.2259415518441196
