scene,video,frame,video_length,phase,conditional_nn,conditional_soft,unconditional_nn,unconditional_soft
R01,01,8,230,6,0.13273943960666656,0.15568821132183075,0.09423677623271942,0.14960820972919464
R01,01,9,230,6,0.13603056967258453,0.1580638885498047,0.09548727422952652,0.15163680911064148
R01,01,10,230,6,0.13550560176372528,0.15759119391441345,0.09677860140800476,0.15180131793022156
R01,01,11,230,6,0.13502168655395508,0.15728022158145905,0.09674394130706787,0.1516246646642685
R01,01,12,230,7,0.13812080025672913,0.16139236092567444,0.09781729429960251,0.15478678047657013
R01,01,13,230,7,0.13812382519245148,0.16174843907356262,0.09804107993841171,0.15494267642498016
R01,01,14,230,18,0.13418667018413544,0.15733705461025238,0.09617795050144196,0.1515098214149475
R01,01,15,230,18,0.13386912643909454,0.15588907897472382,0.09572463482618332,0.15127769112586975
R01,01,16,230,18,0.13152723014354706,0.1536809504032135,0.09426909685134888,0.1485290229320526
R01,01,17,230,18,0.13010592758655548,0.15186811983585358,0.09419317543506622,0.14794768393039703
R01,01,18,230,18,0.1299377679824829,0.1506490409374237,0.09238691627979279,0.14601805806159973
R01,01,19,230,18,0.12996970117092133,0.15182462334632874,0.09220100939273834,0.14688833057880402
R01,01,20,230,18,0.1302485466003418,0.1533629149198532,0.0931716039776802,0.14673839509487152
R01,01,21,230,18,0.13197119534015656,0.15443472564220428,0.09445998072624207,0.14820773899555206
R01,01,22,230,18,0.13223746418952942,0.1541382074356079,0.09521137923002243,0.14948298037052155
R01,01,23,230,18,0.13070043921470642,0.1534259021282196,0.09426581859588623,0.14945976436138153
R01,01,24,230,18,0.1323024034500122,0.15435242652893066,0.09444267302751541,0.14918532967567444
R01,01,25,230,20,0.13165634870529175,0.15411846339702606,0.0949539989233017,0.1505638211965561
R01,01,26,230,20,0.13145072758197784,0.15347260236740112,0.0950714647769928,0.1490003615617752
R01,01,27,230,20,0.13183462619781494,0.15359623730182648,0.0947575643658638,0.14901752769947052
R01,01,28,230,24,0.13219720125198364,0.15378208458423615,0.09409927576780319,0.14900583028793335
R01,01,29,230,24,0.1323452740907669,0.15473997592926025,0.09372073411941528,0.14893649518489838
R01,01,30,230,24,0.13185355067253113,0.1535126268863678,0.09333200752735138,0.1483863741159439
R01,01,31,230,24,0.13448451459407806,0.15681879222393036,0.0953742042183876,0.14990612864494324
R01,01,32,230,24,0.1343761533498764,0.1567414551973343,0.0957334041595459,0.14997746050357819
R01,01,33,230,24,0.1332876831293106,0.15550892055034637,0.09464799612760544,0.14894156157970428
R01,01,34,230,24,0.13347341120243073,0.15650729835033417,0.09468787163496017,0.15117940306663513
R01,01,35,230,24,0.13733221590518951,0.1597437709569931,0.09669545292854309,0.1524208039045334
R01,01,36,230,30,0.13482633233070374,0.15637479722499847,0.0957520604133606,0.15067444741725922
R01,01,37,230,30,0.13244293630123138,0.15435177087783813,0.09469227492809296,0.15013045072555542
R01,01,38,230,34,0.132650688290596,0.1548113375902176,0.09602393954992294,0.15162119269371033
R01,01,39,230,34,0.1305849850177765,0.15250170230865479,0.09495848417282104,0.1493529975414276
R01,01,40,230,37,0.1326541155576706,0.155162051320076,0.09580796211957932,0.15256156027317047
R01,01,41,230,37,0.13514429330825806,0.15756414830684662,0.09547507017850876,0.15217812359333038
R01,01,42,230,42,0.1315160095691681,0.1516156792640686,0.09297148138284683,0.14732149243354797
R01,01,43,230,42,0.13263344764709473,0.15372100472450256,0.09513376653194427,0.15005537867546082
R01,01,44,230,48,0.1312093436717987,0.15227994322776794,0.09488213807344437,0.14906154572963715
R01,01,45,230,48,0.13490331172943115,0.15605464577674866,0.09505178034305573,0.15017443895339966
R01,01,46,230,48,0.13187472522258759,0.15225550532341003,0.09552914649248123,0.1491270661354065
R01,01,47,230,50,0.12626488506793976,0.1456737518310547,0.09352129697799683,0.1462186723947525
R01,01,48,230,50,0.12482442706823349,0.1454765498638153,0.0930982381105423,0.14723624289035797
R01,01,49,230,60,0.14785702526569366,0.16864146292209625,0.09347399324178696,0.1469269096851349
R01,01,50,230,60,0.14393240213394165,0.16509045660495758,0.09459632635116577,0.14801280200481415
R01,01,51,230,60,0.14448730647563934,0.16527371108531952,0.09626560658216476,0.14988087117671967
R01,01,52,230,60,0.14044010639190674,0.16125424206256866,0.09574282914400101,0.14759404957294464
R01,01,53,230,66,0.1365383267402649,0.15761148929595947,0.09544850885868073,0.1486644446849823
R01,01,54,230,66,0.12627269327640533,0.14779150485992432,0.09339495003223419,0.14724288880825043
R01,01,55,230,66,0.12514974176883698,0.14631150662899017,0.09478725492954254,0.14983797073364258
R01,01,56,230,66,0.12355270236730576,0.14426949620246887,0.09265560656785965,0.1459227204322815
R01,01,57,230,66,0.12219057232141495,0.14319632947444916,0.09283211082220078,0.14604343473911285
R01,01,58,230,66,0.12126709520816803,0.14224471151828766,0.09263943135738373,0.14511404931545258
R01,01,59,230,66,0.12433446943759918,0.14487972855567932,0.0938565731048584,0.14749367535114288
R01,01,60,230,66,0.123335100710392,0.14349539577960968,0.09371497482061386,0.1469087302684784
R01,01,61,230,66,0.12396499514579773,0.14396463334560394,0.09261920303106308,0.14634926617145538
R01,01,62,230,68,0.12534786760807037,0.1463269144296646,0.09382078796625137,0.14907898008823395
R01,01,63,230,70,0.13156792521476746,0.15242421627044678,0.09632804989814758,0.15164199471473694
R01,01,64,230,72,0.12707380950450897,0.14737296104431152,0.09257466346025467,0.14767594635486603
R01,01,65,230,72,0.12891894578933716,0.14943012595176697,0.09454383701086044,0.1502000093460083
R01,01,66,230,72,0.12593695521354675,0.14538677036762238,0.094115249812603,0.14742256700992584
R01,01,67,230,75,0.12750926613807678,0.14724493026733398,0.09530141949653625,0.14963914453983307
R01,01,68,230,82,0.13985675573349,0.16135472059249878,0.09929362684488297,0.15519669651985168
R01,01,69,230,82,0.13122068345546722,0.15295551717281342,0.0930883064866066,0.14719553291797638
R01,01,70,230,82,0.13111034035682678,0.1519613415002823,0.09554871171712875,0.15011677145957947
R01,01,71,230,82,0.12928785383701324,0.15081477165222168,0.09518278390169144,0.14921574294567108
R01,01,72,230,82,0.12771102786064148,0.14914962649345398,0.09510468691587448,0.14970692992210388
R01,01,73,230,82,0.12986984848976135,0.15140220522880554,0.09559253603219986,0.15050426125526428
R01,01,74,230,90,0.13784010708332062,0.15709155797958374,0.09447747468948364,0.14765097200870514
R01,01,75,230,103,0.15132015943527222,0.17386682331562042,0.09461192786693573,0.14982151985168457
R01,01,76,230,103,0.1488359570503235,0.17078863084316254,0.0939289852976799,0.1465383917093277
R01,01,77,230,103,0.14299622178077698,0.16591936349868774,0.09319818764925003,0.1469285935163498
R01,01,78,230,103,0.1423734724521637,0.16412097215652466,0.09301216900348663,0.14708712697029114
R01,01,79,230,103,0.1407749503850937,0.16263116896152496,0.0931820198893547,0.14700450003147125
R01,01,80,230,103,0.13954098522663116,0.16228947043418884,0.09392162412405014,0.14919133484363556
R01,01,81,230,103,0.13603928685188293,0.15781694650650024,0.0933557003736496,0.14778243005275726
R01,01,82,230,103,0.1333281397819519,0.15552538633346558,0.09188903868198395,0.14622770249843597
R01,01,83,230,103,0.1345917284488678,0.15668080747127533,0.09339696168899536,0.14890383183956146
R01,01,84,230,103,0.13406318426132202,0.15557841956615448,0.09445417672395706,0.1499413698911667
R01,01,85,230,109,0.13118885457515717,0.1532471477985382,0.09422089904546738,0.14955446124076843
R01,01,86,230,109,0.12898290157318115,0.15065452456474304,0.0942843034863472,0.14940977096557617
R01,01,87,230,110,0.14512109756469727,0.1678006798028946,0.09246506541967392,0.1461750715970993
R01,01,88,230,110,0.14079608023166656,0.16422227025032043,0.09128961712121964,0.14598841965198517
R01,01,89,230,110,0.13983573019504547,0.16288472712039948,0.09400292485952377,0.1484365612268448
R01,01,90,230,114,0.13978008925914764,0.16234202682971954,0.09339465945959091,0.1477881669998169
R01,01,91,230,114,0.1338966339826584,0.15743324160575867,0.0930308848619461,0.14732913672924042
