layer,M,N,K,kind,scene,relative_l2,cosine,max_abs,pass
qkv,325,2304,768,bf16,R01,0.0,1.2654524539357226e-08,0.0,True
qkv,325,2304,768,bf16,R02,0.0,1.2104328206419268e-08,0.0,True
qkv,325,2304,768,bf16,R03,0.0,1.3204720872295184e-08,0.0,True
qkv,325,2304,768,bf16,R04,0.0,1.3204720872295184e-08,0.0,True
qkv,325,2304,768,native_int4,R01,0.0,1.1003934652364933e-08,0.0,True
qkv,325,2304,768,native_int4,R02,0.0,1.3204720872295184e-08,0.0,True
qkv,325,2304,768,native_int4,R03,0.0,1.0453737431248555e-08,0.0,True
qkv,325,2304,768,native_int4,R04,0.0,1.0453737431248555e-08,0.0,True
qkv,325,2304,768,packed_int4,R01,0.0,1.1003934652364933e-08,0.0,True
qkv,325,2304,768,packed_int4,R02,0.0,1.2654524539357226e-08,0.0,True
qkv,325,2304,768,packed_int4,R03,0.0,1.0820535578659474e-08,0.0,True
qkv,325,2304,768,packed_int4,R04,0.0,1.0270339245721516e-08,0.0,True
qkv,325,2304,768,dequant_only,R01,0.0,2.4990489677634287e-08,0.0,True
qkv,325,2304,768,dequant_only,R02,0.0,2.4990489677634287e-08,0.0,True
qkv,325,2304,768,dequant_only,R03,0.0,2.4990489677634287e-08,0.0,True
qkv,325,2304,768,dequant_only,R04,0.0,2.4990489677634287e-08,0.0,True
qkv,325,2304,768,predequant_gemm,R01,0.0,1.1003934652364933e-08,0.0,True
qkv,325,2304,768,predequant_gemm,R02,0.0,1.2654524539357226e-08,0.0,True
qkv,325,2304,768,predequant_gemm,R03,0.0,1.0820535578659474e-08,0.0,True
qkv,325,2304,768,predequant_gemm,R04,0.0,1.0270339245721516e-08,0.0,True
qkv,325,2304,768,fused_int4,R01,1.4156715224089567e-05,1.1003934652364933e-08,0.0078125,True
qkv,325,2304,768,fused_int4,R02,1.0917022336798254e-05,1.2471125465651767e-08,0.0078125,True
qkv,325,2304,768,fused_int4,R03,1.898090158647392e-05,1.0637136504954015e-08,0.015625,True
qkv,325,2304,768,fused_int4,R04,1.9601295207394287e-05,1.0086940172016057e-08,0.015625,True
