video,start,end,cold_start,detected,delay_frames,alarm_preexisting_at_onset,any_raw_threshold_crossing,max_score,max_appearance,max_temporal
02,67,352,False,False,,False,True,1.0696900955406599,1.3283382828846986,1.1548175039212019
03,65,380,False,False,,False,False,0.6675038780852055,0.7370932350310345,0.9921519786487192
04,261,378,False,False,,False,False,0.6372784731842006,0.6610414156225211,1.0126577478274947
06,92,504,False,False,,False,False,0.661022835499979,0.6197792568164263,1.0837186650603816
07,122,203,False,False,,False,False,0.318886480553403,0.424032912894069,0.637772961106806
07,412,480,False,False,,False,False,0.4366752014268242,0.7223522765877545,0.4966525385194203
08,134,243,False,False,,False,False,0.05872936563085616,0.042716515620672954,0.11745873126171232
11,170,239,False,False,,False,False,0.5944258281771335,0.8501771846900532,0.9156668641166245
11,279,334,False,False,,False,False,0.6873047211014518,0.9211667912908454,0.6189020354433794
12,155,239,False,False,,False,False,0.6872892750170039,0.4717923988720782,0.9598343246210735
12,370,429,False,False,,False,True,0.8596904336192668,0.8131027072548298,1.334719111341762
12,531,609,False,False,,False,False,0.7187805631900692,0.6920864539984157,1.1042244342391572
17,95,181,False,False,,False,False,0.6878891941355667,0.7965486823752794,0.8618420290318154
18,65,205,False,False,,False,False,0.6115773312488281,0.7571898019233889,0.9200138062815774
19,166,276,False,False,,False,False,0.609229002466222,0.6323176098995141,1.079409644523362
