video,start,end,frames,mean_appearance,mean_temporal
01,378,397,20,1.301039102989611,0.2877821451669646
01,410,410,1,1.4536241181069898,0.061166728146925524
08,432,437,6,0.6479309255387178,0.8583015623415403
08,453,454,2,0.4699150383604833,0.9098587960047868
08,585,595,11,0.8976685229920601,1.1879290932859006
11,255,255,1,0.7696937397119126,0.5967158768775165
11,394,396,3,1.4413033772784936,0.0074806553882276255
11,408,423,16,1.0628194419701262,1.0100897277446113
12,631,633,3,0.47186569042457327,0.9651868188801486
17,499,500,2,0.9764415216724769,0.9871783012948752
17,507,509,3,1.356173810420677,0.2147036756774562
17,550,552,3,0.9293399068469047,0.47603922997740306
17,557,572,16,1.0819230553146841,0.970648377125481
