scene,video,frame,video_length,phase,conditional_nn,conditional_soft,unconditional_nn,unconditional_soft
R02,01,8,583,0,0.04292459413409233,0.05669999495148659,0.03579496964812279,0.0711190477013588
R02,01,9,583,0,0.06764105707406998,0.07694211602210999,0.056466780602931976,0.10727482289075851
R02,01,10,583,1,0.07827669382095337,0.08872056752443314,0.06089914217591286,0.1123841404914856
R02,01,11,583,2,0.07121087610721588,0.08077900856733322,0.05587112903594971,0.09809567779302597
R02,01,12,583,2,0.06005173176527023,0.06890479475259781,0.04693201929330826,0.09200725704431534
R02,01,13,583,2,0.05961029604077339,0.07167672365903854,0.05026533082127571,0.0975029468536377
R02,01,14,583,2,0.05245929956436157,0.06496759504079819,0.04351841285824776,0.09228618443012238
R02,01,15,583,2,0.038736406713724136,0.0524369478225708,0.030934622511267662,0.08201026916503906
R02,01,16,583,3,0.032733287662267685,0.04617700353264809,0.025252174586057663,0.07457179576158524
R02,01,17,583,4,0.03807275742292404,0.05063362047076225,0.02962164580821991,0.07840477675199509
R02,01,18,583,4,0.03637026622891426,0.04903484135866165,0.029036687687039375,0.07620412111282349
R02,01,19,583,4,0.03676643967628479,0.04909035563468933,0.029677938669919968,0.07641936093568802
R02,01,20,583,4,0.03798495978116989,0.048791591078042984,0.03063785843551159,0.0757908895611763
R02,01,21,583,5,0.03553516045212746,0.04662344977259636,0.028630828484892845,0.07501525431871414
R02,01,22,583,5,0.033462680876255035,0.044422488659620285,0.027773359790444374,0.07183807343244553
R02,01,23,583,5,0.036163389682769775,0.0455729179084301,0.03149425610899925,0.0739445686340332
R02,01,24,583,5,0.041807886213064194,0.04961339384317398,0.03615235909819603,0.07167386263608932
R02,01,25,583,6,0.04094076156616211,0.04795415326952934,0.035529330372810364,0.07225730270147324
R02,01,26,583,6,0.03492762893438339,0.04061692953109741,0.03210783377289772,0.06828868389129639
R02,01,27,583,7,0.028327420353889465,0.03452024236321449,0.023286685347557068,0.05242183431982994
R02,01,28,583,7,0.01738325133919716,0.0278220996260643,0.011331736110150814,0.03757097199559212
R02,01,29,583,7,0.01619296707212925,0.027310501784086227,0.011201503686606884,0.03676425293087959
R02,01,30,583,7,0.015306870453059673,0.02589084580540657,0.010369543917477131,0.035235777497291565
R02,01,31,583,8,0.015070626512169838,0.026062654331326485,0.009849561378359795,0.03582850843667984
R02,01,32,583,8,0.014030160382390022,0.025040853768587112,0.008968592621386051,0.03331973776221275
R02,01,33,583,8,0.014216789975762367,0.024867894127964973,0.008934300392866135,0.033586155623197556
R02,01,34,583,8,0.013861293904483318,0.025009524077177048,0.008606032468378544,0.032855235040187836
R02,01,35,583,10,0.011032107286155224,0.018836747854948044,0.008997663855552673,0.03294748812913895
R02,01,36,583,11,0.011346246115863323,0.019208379089832306,0.008984553627669811,0.033070992678403854
R02,01,37,583,12,0.008805099874734879,0.01611364260315895,0.007970400154590607,0.030939696356654167
R02,01,38,583,12,0.009682976640760899,0.017295263707637787,0.00808623805642128,0.03185500204563141
R02,01,39,583,12,0.010075553320348263,0.01748891919851303,0.008722605183720589,0.03298262506723404
R02,01,40,583,12,0.009644776582717896,0.016893552616238594,0.008692750707268715,0.03231508284807205
R02,01,41,583,13,0.01006264053285122,0.017686890438199043,0.009375163353979588,0.03339151293039322
R02,01,42,583,15,0.010247611440718174,0.018333684653043747,0.009729543700814247,0.03464609757065773
R02,01,43,583,15,0.00954390037804842,0.017948992550373077,0.009388492442667484,0.03457752242684364
R02,01,44,583,15,0.010135971009731293,0.017605070024728775,0.009006334468722343,0.033265210688114166
