video,frame,video_length,phase,appearance,temporal,appearance_score,temporal_score,combined_score,label
01,35,583,13,0.008662541396915913,0.9252393069186973,0.04105024690155973,0.010139838640254528,0.025595042770907128,0
01,36,583,13,0.00889069028198719,0.9235429540773068,0.04370401781000035,0.010112654086259217,0.02690833594812978,0
01,37,583,13,0.007565480191260576,0.9881659194636297,0.02828950467203988,0.011148256143223782,0.019718880407631832,0
01,38,583,14,0.00741024361923337,0.8776202592996483,0.026483831597445877,0.009376729374528728,0.017930280485987302,0
01,39,583,15,0.008360268548130989,0.9133244476755926,0.03753428454098851,0.009948899511001665,0.023741592025995087,0
01,40,583,15,0.008119286969304085,0.8793166121410394,0.034731246940514875,0.00940391392852405,0.022067580434519462,0
01,41,583,16,0.00799897126853466,0.9303283654428692,0.033331764727701114,0.010221392302240473,0.021776578514970793,0
01,42,583,16,0.00790773332118988,0.7670745991356676,0.032270507687879195,0.007605202605833685,0.01993785514685644,0
01,43,583,16,0.007819241844117641,0.7415485278080692,0.031241196905028426,0.007196139793332669,0.019218668349180547,0
01,44,583,17,0.007891231216490269,0.5969950321095345,0.03207855932325673,0.004879627442159999,0.018479093382708367,0
01,45,583,17,0.007504087872803211,0.6276101619613069,0.027575404541009308,0.005370243916646992,0.01647282422882815,0
01,46,583,18,0.00842036958783865,0.6224807140837667,0.03823336483977408,0.005288043003375416,0.02176070392157475,0
01,47,583,18,0.007761599030345678,0.5544650430146603,0.030570710077004237,0.004198071838420186,0.01738439095771221,0
01,48,583,19,0.008060947991907597,0.6700997617028144,0.0340526625109017,0.006051152269101196,0.02005190739000145,0
01,49,583,20,0.008100852370262146,1.0272224241689887,0.03451682028385609,0.011774148136401742,0.023145484210128915,0
01,50,583,20,0.008993145078420639,0.7381154327719222,0.04489574643983936,0.007141123434056448,0.026018434936947905,0
01,51,583,20,0.00881709810346365,0.5153277596025689,0.042848011950521674,0.003570885342671029,0.02320944864659635,0
01,52,583,20,0.00870565976947546,0.46940506482491173,0.04155178905322127,0.002834960630940561,0.022193374842080917,0
01,53,583,20,0.008653144352138042,0.6156549133648355,0.04094094282124816,0.00517865753610852,0.02305980017867834,0
01,54,583,21,0.00790403876453638,0.48471262975079793,0.03222753352667048,0.003080268868184058,0.01765390119742727,0
01,55,583,21,0.008805069141089916,0.5204168181267416,0.042708094061393406,0.003652439004656984,0.023180266533025195,0
01,56,583,21,0.008778714574873447,0.7176784199684965,0.042401544322577076,0.0068136142835413865,0.02460757930305923,0
01,57,583,23,0.009062768891453743,0.9523809523809523,0.04570559326203284,0.010574791504179637,0.02814019238310624,0
01,58,583,23,0.008865181356668472,0.6853669372753337,0.04340730435512088,0.006295813255059083,0.02485155880508998,0
01,59,583,23,0.008701306767761707,0.5629064178682497,0.04150115602335246,0.004333347357111199,0.02291725169023183,0
01,60,583,23,0.008778261952102184,0.5186800759319843,0.042396279527430254,0.0036246071993760636,0.02301044336340316,0
01,61,583,23,0.009011270478367805,0.5713881820752046,0.045106576569772336,0.004469270127087798,0.024787923348430066,0
01,62,583,23,0.009660270996391773,0.6836301950805764,0.052655588671044806,0.006267981449778163,0.029461785060411486,0
01,63,583,25,0.009218685328960419,1.1938688961589727,0.0475191743622589,0.014444706940799176,0.03098194065152904,0
01,64,583,25,0.009127750992774963,0.9285512338947458,0.046461448851691844,0.010192913245673955,0.028327181048682898,0
01,65,583,25,0.009007112123072147,0.7754755846358908,0.0450582076184749,0.007739830873239099,0.026399019245856997,0
01,66,583,25,0.010416741482913494,0.6870229007633587,0.06145466463233249,0.006322350557768808,0.033888507595050646,0
01,67,583,25,0.010211143642663956,0.6547114180701958,0.05906320185081598,0.005804549529286503,0.03243387569005124,0
01,68,583,25,0.010416928678750992,0.6819338422391861,0.06145684204760926,0.006240796895782853,0.03384881947169606,0
01,69,583,25,0.009479316882789135,0.8026980088048796,0.050550775569322595,0.008176078239735426,0.029363426904529012,0
01,70,583,25,0.009115827269852161,0.9880851407568974,0.046322755081599776,0.011146961640652585,0.02873485836112618,0
01,71,583,25,0.009655305184423923,1.2380952380952381,0.05259782758519533,0.015153447098534311,0.03387563734186482,0
01,72,583,27,0.00902264192700386,0.7125489720909557,0.04523884642315234,0.006731413370269802,0.02598512989671107,0
01,73,583,27,0.010252173990011215,0.6053960176097578,0.05954045661416647,0.005014255709565413,0.032277356161865944,0
01,74,583,27,0.00970576610416174,0.5833030413183086,0.05318477641368308,0.00466020925634065,0.028922492835011863,0
01,75,583,27,0.009973479434847832,0.6853669372753337,0.05629875108226205,0.006295813255059083,0.03129728216866057,0
01,76,583,27,0.015635227784514427,0.8894543398360186,0.12215479529024859,0.009566374001210362,0.06586058464572947,0
01,77,583,29,0.01193954236805439,0.8962801405549505,0.07916750459239631,0.00967575946847727,0.044421632030436795,0
01,78,583,29,0.008233001455664635,0.6904963851528753,0.036053945474314925,0.0063780141683306806,0.021215979821322804,0
01,79,583,29,0.010301914997398853,0.5816470778302842,0.060119031601813706,0.004633671953630937,0.03237635177772232,0
01,80,583,29,0.01320346537977457,0.5697322185871803,0.0938691417183624,0.0044427328243780845,0.04915593727137024,0
