video,frame,phase_equal,appearance_abs_error,temporal_abs_error
01,35,True,1.7464160919189453e-05,0.06605823554976054
01,36,True,0.00011835619807243347,0.09523809523809534
01,37,True,8.50483775138855e-06,0.09523809523809534
01,38,True,0.0001378469169139862,0.024585583907617448
01,39,True,8.398666977882385e-05,0.07425343018563302
01,40,True,7.896870374679565e-05,0.09523809523809512
01,41,True,4.908815026283264e-05,0.09523809523809512
01,42,True,0.0001066550612449646,0.09523809523809512
01,43,True,5.887448787689209e-05,0.08244862482150617
01,44,True,8.394941687583923e-05,0.09523809523809512
01,45,False,0.00016532093286514282,0.07574346557397393
01,46,True,5.728378891944885e-05,0.09728689389706346
01,47,True,0.00013490021228790283,0.04761904761904767
01,48,True,8.764117956161499e-05,0.006146395976904695
01,49,True,7.198378443717957e-05,0.04761904761904767
01,50,True,0.0003742501139640808,0.010243993294841047
01,51,True,6.520003080368042e-05,0.04761904761904767
01,52,True,3.6366283893585205e-05,0.04761904761904756
01,53,True,0.00015941262245178223,0.03122865834730182
01,54,True,0.00018981099128723145,0.01843918793071264
01,55,True,0.0001600012183189392,0.04761904761904767
01,56,True,0.00015070289373397827,0.04761904761904767
01,57,True,4.727393388748169e-05,0.023033463711430335
01,58,True,0.00016869232058525085,0.02663438256658568
01,59,True,0.00013690441846847534,0.04761904761904767
01,60,True,6.586313247680664e-05,0.04761904761904767
01,61,True,0.00022929534316062927,0.04761904761904767
01,62,True,0.0001837015151977539,0.04761904761904745
01,63,True,9.277090430259705e-05,0.047619047619047894
01,64,True,0.00018160417675971985,0.04761904761904745
01,65,True,0.0001222081482410431,0.04761904761904745
01,66,True,1.9762665033340454e-05,0.0
01,67,True,0.0003031119704246521,0.0
01,68,True,5.5614858865737915e-05,0.0
01,69,True,0.00010388344526290894,0.0
01,70,True,1.3057142496109009e-05,0.0
01,71,True,1.9215047359466553e-05,0.0
01,72,True,0.0001311264932155609,0.0
01,73,True,1.0680407285690308e-05,0.0
01,74,True,1.2330710887908936e-06,0.0
01,75,True,0.00017816200852394104,0.0
01,76,True,7.706508040428162e-05,0.0
01,77,True,2.9850751161575317e-05,0.0
01,78,True,4.824250936508179e-05,0.0
01,79,True,6.252527236938477e-05,0.0
01,80,True,4.900246858596802e-05,0.0
01,81,True,0.00010658800601959229,0.0
01,82,True,0.00022365152835845947,0.0
01,83,True,0.0003294423222541809,0.0
01,84,True,0.0002735927700996399,0.0
01,85,True,0.00020553544163703918,0.0
01,86,True,0.00019239261746406555,0.0
01,87,True,0.00028844550251960754,0.0
01,88,True,6.507337093353271e-05,0.0
01,89,True,0.00021584704518318176,0.0
01,90,True,0.00022041797637939453,0.0
01,91,True,9.919330477714539e-05,0.0
01,92,True,4.967302083969116e-05,0.0
01,93,True,0.00013009831309318542,0.0
01,94,True,0.0001016072928905487,0.0
01,95,True,9.830668568611145e-05,0.0
01,96,True,3.9171427488327026e-05,0.0
01,97,True,0.00012601539492607117,0.0
01,98,True,0.00016749277710914612,0.0
01,99,True,5.6140124797821045e-06,0.0
01,100,False,6.037577986717224e-05,0.9441857577450796
01,101,True,0.0003386959433555603,0.0020487986589685647
01,102,True,1.099705696105957e-05,0.047619047619047894
01,103,True,0.00015115365386009216,0.047619047619047894
01,104,True,0.0001466609537601471,0.03942385298317452
01,105,True,0.00017135962843894958,0.010243993294839715
01,106,True,4.8372894525527954e-05,0.04761904761904767
01,107,True,0.00012361258268356323,0.04761904761904745
01,108,True,1.6029924154281616e-05,0.04761904761904767
01,109,True,0.00044076889753341675,0.04761904761904767
01,110,True,0.0002680569887161255,0.04761904761904745
01,111,True,3.60049307346344e-05,0.04761904761904767
01,112,True,0.00026085972785949707,0.04761904761904745
01,113,True,4.6566128730773926e-07,0.047619047619047894
01,114,True,0.0001399889588356018,0.04761904761904745
01,115,True,0.00022358819842338562,0.047619047619047894
01,116,True,2.810731530189514e-05,0.04761904761904745
01,117,True,6.809830665588379e-05,0.04761904761904745
01,118,True,1.0892748832702637e-05,0.04761904761904745
01,119,True,0.0002945065498352051,0.04761904761904745
01,120,True,2.7708709239959717e-05,0.04761904761904767
01,121,True,0.00013346970081329346,0.0
01,122,True,5.286186933517456e-05,0.0
01,123,True,0.00022671371698379517,0.0
01,124,True,0.00018130242824554443,0.0
01,125,True,0.0003674700856208801,0.0
01,126,False,0.00038914382457733154,0.4771838331160372
01,127,False,1.1291354894638062e-05,0.32613149562302124
01,128,True,0.00012153014540672302,0.049667846278016015
01,129,True,0.00015634670853614807,0.09523809523809534
01,130,True,9.020045399665833e-05,0.09523809523809523
01,131,True,1.2960284948348999e-05,0.09523809523809534
01,132,True,6.381422281265259e-06,0.05786304091388739
01,133,True,9.717792272567749e-05,0.09523809523809523
01,134,True,0.0001706443727016449,0.09523809523809512
01,135,True,0.0004135817289352417,0.09523809523809534
01,136,True,0.00014443323016166687,0.09523809523809512
01,137,True,3.594160079956055e-05,0.09523809523809523
01,138,True,3.29725444316864e-05,0.09523809523809523
01,139,True,7.856637239456177e-06,0.09523809523809512
01,140,True,3.0338764190673828e-05,0.09523809523809512
01,141,True,0.00019806250929832458,0.09523809523809512
01,142,True,0.00014040619134902954,0.09523809523809523
01,143,True,0.00023817643523216248,0.09523809523809523
01,144,True,8.422881364822388e-05,0.08244862482150617
01,145,True,5.590170621871948e-05,0.09523809523809523
01,146,True,0.00012898817658424377,0.09523809523809534
01,147,True,9.898468852043152e-05,0.04761904761904767
01,148,True,0.00013943016529083252,0.0
01,149,True,6.029382348060608e-05,0.0
01,150,True,4.356354475021362e-05,0.0
01,151,True,5.5052340030670166e-05,0.0
01,152,True,5.932152271270752e-05,0.0
01,153,True,0.0001520887017250061,0.0
01,154,True,0.0007564052939414978,0.0
01,155,True,8.562952280044556e-05,0.0
01,156,True,3.221631050109863e-05,0.0
01,157,True,0.00018466264009475708,0.0
01,158,True,0.00015384703874588013,0.0
01,159,True,0.0003310367465019226,0.0
01,160,True,0.0003284960985183716,0.0
01,161,True,0.0007062777876853943,0.0
01,162,True,0.000280134379863739,0.0
01,163,True,0.00010831654071807861,0.0
01,164,True,0.0006081312894821167,0.0
01,165,True,6.467103958129883e-05,0.0
01,166,False,0.00021674484014511108,38.812565965108334
01,167,True,8.022040128707886e-05,2.240144036754206
01,168,True,0.0001836046576499939,2.289811883032222
01,169,True,0.00013919174671173096,1.95852734835786
01,170,True,0.00019031018018722534,1.9129570993977776
01,171,True,3.8601458072662354e-05,1.9626249456757936
01,172,True,9.145587682723999e-05,2.0122927919538096
01,173,True,0.0001490674912929535,1.9667225429937325
01,174,True,2.1260231733322144e-05,2.0163903892717467
01,175,True,7.4803829193115234e-06,1.7803439498354763
01,176,True,0.0001465827226638794,1.8300117961134905
01,177,True,9.023398160934448e-05,1.8796796423915065
01,178,True,3.1247735023498535e-05,1.9293474886695234
01,179,True,0.0002642795443534851,1.9790153349475341
01,180,True,3.8858503103256226e-05,2.028683181225553
01,181,True,0.000209905207157135,2.078351027503569
01,182,True,7.507577538490295e-05,2.1280188737815875
01,183,False,5.9310346841812134e-05,2.7307381883653044
01,184,True,9.626150131225586e-05,2.0348295772024567
01,185,True,4.6372413635253906e-05,2.034829577202458
01,186,True,1.5135854482650757e-05,2.0348295772024594
01,187,True,0.00012904778122901917,0.039423852983174634
01,188,True,0.00011783093214035034,0.010243993294841047
01,189,True,2.7898699045181274e-05,0.05991183957285684
01,190,True,1.6342848539352417e-05,0.1428571428571428
