scene,video,frame,video_length,mse,phase,label,phase_error,negative_psnr,negative_psnr_normalized,phase_error_normalized,negative_psnr_with_phase
R03,01,10,720,0.010800506919622421,3,1,0.3445800430725058,-19.665558605104298,0.4586022895451146,0.0007688050837701468,0.22968554731444238
R03,01,11,720,0.010806804522871971,3,1,0.3445800430725058,-19.663027041262847,0.4589662341191205,0.0007688050837701468,0.22986751960144533
R03,01,12,720,0.010834119282662868,3,1,0.3445800430725058,-19.652063871799502,0.4605423294854551,0.0007688050837701468,0.23065556728461262
R03,01,13,720,0.010835344903171062,3,1,0.5445800430725057,-19.651572599639177,0.460612956121127,0.003355629918774176,0.2319842930199506
R03,01,14,720,0.010853174142539501,3,1,0.7445800430725058,-19.64443228544608,0.4616394673094783,0.005942454753778206,0.23379096103162825
R03,01,15,720,0.010859723202884197,2,1,0.7445800430725058,-19.641812440834507,0.4620161033695722,0.005942454753778206,0.2339792790616752
R03,01,16,720,0.010871686041355133,2,1,0.5445800430725057,-19.637030978940125,0.46270349946987305,0.003355629918774176,0.23302956469432362
R03,01,17,720,0.010863145813345909,2,1,0.3148600143575038,-19.640443909957284,0.4622128471288918,0.00038440254188514694,0.2312986248353885
R03,01,18,720,0.01087244600057602,2,1,0.6,-19.636727406375723,0.4627471418958795,0.0040724385234486545,0.23340979020966407
R03,01,19,720,0.010808567516505718,3,1,0.45541995692749426,-19.662318602465618,0.4590680812272381,0.002202422293119104,0.2306352517601786
R03,01,20,720,0.01073489896953106,4,1,0.6,-19.692020385292356,0.4547980713143552,0.0040724385234486545,0.2294352549189019
R03,01,21,720,0.010727006942033768,4,1,0.28513998564250187,-19.69521438321753,0.454338893396256,1.471875652402993e-16,0.22716944669812808
R03,01,22,720,0.01073381956666708,4,1,0.4,-19.69245709389905,0.4547352888850812,0.0014856136884446253,0.2281104512867629
R03,01,23,720,0.01065962202847004,5,1,0.4,-19.722581943582266,0.45040445771842014,0.0014856136884446253,0.22594503570343238
R03,01,24,720,0.010567600838840008,5,1,0.28513998564250187,-19.760235993264494,0.4449912080713801,1.471875652402993e-16,0.22249560403569013
R03,01,25,720,0.010662056505680084,5,1,0.4,-19.721590201753365,0.4505470332488229,0.0014856136884446253,0.22601632346863376
R03,01,26,720,0.010447433218359947,6,1,0.4,-19.80990396254254,0.4378508043317403,0.0014856136884446253,0.21966820901009246
R03,01,27,720,0.010453595779836178,6,1,0.28513998564250187,-19.807342972343154,0.43821897931981957,1.471875652402993e-16,0.21910948965990987
R03,01,28,720,0.010403452441096306,6,1,0.4,-19.828225138452847,0.43521690174047006,0.0014856136884446253,0.21835125771445735
R03,01,29,720,0.01041837316006422,7,1,0.4,-19.82200091282818,0.4361117135190217,0.0014856136884446253,0.21879866360373318
