video,frame,video_length,phase,appearance,temporal
01,35,411,16,0.053129713982343674,2.2181660147761826
01,36,411,16,0.050783734768629074,2.0297386229589605
01,37,411,16,0.049743421375751495,1.899174272055627
01,38,411,17,0.04921632260084152,1.5663376171850734
01,39,411,17,0.04537059739232063,1.446017259576581
01,40,411,17,0.043684449046850204,1.4706028434841998
01,41,411,18,0.04650832340121269,1.0860495436766635
01,42,411,19,0.042243797332048416,0.9564785496988895
01,43,411,19,0.040209490805864334,0.8192711243558729
01,44,411,21,0.04099166393280029,1.397280685416279
01,45,411,21,0.04232357069849968,0.9912460420935009
01,46,411,21,0.04384041205048561,0.7091326752343718
01,47,411,21,0.043933313339948654,0.6666666666666681
01,48,411,21,0.044650208204984665,0.8812317625876948
01,49,411,22,0.044367026537656784,0.678959458620476
01,50,411,23,0.051256779581308365,0.6779040168870687
01,51,411,23,0.05176690220832825,0.6431365244924566
01,52,411,24,0.05154048651456833,0.5202086049543685
01,53,411,24,0.05306122824549675,0.5202706897622149
01,54,411,26,0.049421947449445724,0.9958403178742171
01,55,411,26,0.05051097273826599,0.5852113987707215
01,56,411,26,0.05127830430865288,0.4142298379586523
01,57,411,26,0.05285340175032616,0.590426522629913
01,58,411,27,0.047904156148433685,0.4142298379586523
01,59,411,27,0.04934205114841461,0.5822313279940401
01,60,411,27,0.04639817029237747,1.024647668715465
01,61,411,27,0.046407293528318405,1.5008381449059414
01,62,411,27,0.041901133954524994,1.92940957347737
01,63,411,27,0.04012163355946541,2.3103619544297507
01,64,411,27,0.03941160812973976,2.691314335382132
01,65,411,27,0.04051981866359711,2.9770286210964176
01,66,411,27,0.03928330913186073,3.2627429068107032
01,67,411,27,0.03952881693840027,3.548457192524989
01,68,411,27,0.03798668086528778,3.834171478239275
01,69,411,27,0.03782503679394722,4.11988576395356
01,70,411,27,0.037668704986572266,4.357981002048798
01,71,411,27,0.03852352872490883,4.548457192524989
01,72,411,27,0.039193931967020035,4.7389333830011795
01,73,411,27,0.03877708688378334,4.881790525858323
01,74,411,27,0.042441196739673615,5.024647668715465
01,75,411,27,0.042966220527887344,5.0722667163345125
01,76,411,27,0.04684951901435852,5.11988576395356
01,77,411,27,0.05365084484219551,5.167504811572608
01,78,411,27,0.05610445886850357,5.215123859191656
01,79,411,29,0.06760507822036743,3.583783448190227
01,80,411,29,0.06631220877170563,3.5382131992301478
01,81,411,29,0.06144963949918747,3.5423107965480845
01,82,411,29,0.052923791110515594,3.5960762401440367
01,83,411,29,0.05638592317700386,3.691314335382132
01,84,411,29,0.0601126104593277,3.786552430620227
01,85,411,32,0.056119564920663834,1.944744521015707
01,86,411,32,0.059995800256729126,1.8182777674303086
01,87,411,34,0.053089823573827744,1.6477308002731728
01,88,411,34,0.04866251349449158,1.3640653132178553
01,89,411,34,0.052429575473070145,1.1587508536661089
01,90,411,34,0.05429939180612564,1.1024399329484087
01,91,411,34,0.056592464447021484,1.186937356428883
01,92,411,35,0.054667383432388306,0.8377103122865829
01,93,411,37,0.055305685847997665,1.2667163345129462
01,94,411,37,0.05535813421010971,0.9021543428323097
01,95,411,37,0.051519542932510376,0.6901968088408788
01,96,411,39,0.050729211419820786,1.689638045570249
01,97,411,39,0.049954190850257874,1.1965605016452487
01,98,411,41,0.04911373183131218,2.451542807475011
01,99,411,41,0.04924273490905762,1.8345439870863602
01,100,411,43,0.048772599548101425,3.1182094741416777
01,101,411,43,0.05058307573199272,2.5012106537530268
01,102,411,45,0.04938402399420738,3.6896380455702493
01,103,411,45,0.0510648675262928,2.977401129943503
01,104,411,45,0.04891866073012352,2.3230272552306457
01,105,411,45,0.050186917185783386,1.7679890730738188
01,106,411,45,0.05018126592040062,1.4633389209660406
01,107,411,45,0.04959297180175781,1.2580244614142915
01,108,411,45,0.05085345730185509,1.255478984292545
01,109,411,45,0.05137692019343376,1.3850499782703174
01,110,411,45,0.05320559814572334,1.6390389271745203
01,111,411,45,0.05294438824057579,1.9923635686347547
01,112,411,45,0.054223284125328064,2.453219097286894
01,113,411,47,0.055381715297698975,1.3651207549512627
01,114,411,47,0.056093450635671616,1.6421431675668958
01,115,411,47,0.05273338779807091,2.0185012727385603
01,116,411,47,0.051898542791604996,2.453219097286894
01,117,411,47,0.05326781049370766,2.834171478239275
01,118,411,47,0.051023561507463455,3.2151238591916558
01,119,411,47,0.054566677659749985,3.5008381449059414
01,120,411,47,0.05735190212726593,3.786552430620227
01,121,411,47,0.05963744595646858,3.9770286210964176
01,122,411,50,0.0723443552851677,1.993915688830943
01,123,411,50,0.06152960658073425,1.9959644874899114
01,124,411,50,0.058402251452207565,2.0476811324268955
01,125,411,50,0.06221917271614075,2.1490656236418952
01,126,411,50,0.052503179758787155,2.300117961134911
01,127,411,53,0.054811742156744,1.2396473582914265
01,128,411,53,0.05290321633219719,1.0942447383125358
01,129,411,53,0.053054410964250565,1.0650648786242007
01,130,411,53,0.05320318788290024,1.1352207114918988
01,131,411,53,0.050421085208654404,1.3047122369156274
01,132,411,55,0.0492059588432312,0.9129570993977777
01,133,411,55,0.04959528520703316,0.8545973800211092
01,134,411,55,0.05649075284600258,0.8500031042403929
01,135,411,55,0.05496419593691826,0.9944123672937243
01,136,411,56,0.05469481274485588,0.6805115788166645
01,137,411,56,0.054745227098464966,0.839262432482772
01,138,411,58,0.04967423528432846,0.8729744831439754
01,139,411,58,0.05311821773648262,0.6630657478115113
01,140,411,58,0.058790650218725204,0.6600235922269836
01,141,411,58,0.06038837879896164,0.9053206680325323
01,142,411,60,0.05598181486129761,0.723474265847148
