scene,video,frame,video_length,phase,conditional_nn,conditional_soft,unconditional_nn,unconditional_soft
R04,01,8,411,1,0.05492854490876198,0.06329891830682755,0.037986189126968384,0.07396528869867325
R04,01,9,411,1,0.05269745737314224,0.06101299822330475,0.03834081068634987,0.07392323762178421
R04,01,10,411,1,0.054165877401828766,0.06292171776294708,0.03888275474309921,0.07410255819559097
R04,01,11,411,1,0.05320346727967262,0.06218141317367554,0.03864534571766853,0.074495829641819
R04,01,12,411,1,0.05319290608167648,0.06256896257400513,0.038477346301078796,0.07407916337251663
R04,01,13,411,1,0.05329832062125206,0.06245908513665199,0.03845280781388283,0.07459917664527893
R04,01,14,411,1,0.05506592616438866,0.06403840333223343,0.038062531501054764,0.07382718473672867
R04,01,15,411,1,0.05478091910481453,0.06388478726148605,0.039550311863422394,0.07485394179821014
R04,01,16,411,1,0.05303940922021866,0.062213391065597534,0.03686225041747093,0.07245592772960663
R04,01,17,411,1,0.054479435086250305,0.06349734216928482,0.03905698284506798,0.07471536844968796
R04,01,18,411,1,0.05568782240152359,0.06436453014612198,0.03812902793288231,0.07436397671699524
R04,01,19,411,1,0.05305362120270729,0.06210856884717941,0.03874005004763603,0.07419241219758987
R04,01,20,411,1,0.05464233458042145,0.06410429626703262,0.0397779606282711,0.07627153396606445
R04,01,21,411,1,0.055000387132167816,0.06401664763689041,0.03946557641029358,0.07461020350456238
R04,01,22,411,1,0.05524325743317604,0.06480544060468674,0.03972930833697319,0.07566279917955399
R04,01,23,411,1,0.05549921840429306,0.06448691338300705,0.0395030751824379,0.07526025921106339
R04,01,24,411,1,0.05657398700714111,0.06545867770910263,0.038363587111234665,0.07367710769176483
R04,01,25,411,1,0.057152166962623596,0.06645336002111435,0.03855743631720543,0.07339998334646225
R04,01,26,411,7,0.055608250200748444,0.06488452106714249,0.03923846036195755,0.07482922822237015
R04,01,27,411,7,0.05684323236346245,0.06589601933956146,0.03863221034407616,0.0731523185968399
R04,01,28,411,8,0.054827362298965454,0.06406819820404053,0.0383949913084507,0.07248932868242264
R04,01,29,411,8,0.0539444275200367,0.06289276480674744,0.03771454095840454,0.07177571952342987
R04,01,30,411,8,0.05563965067267418,0.06508565694093704,0.03897508233785629,0.07343215495347977
R04,01,31,411,8,0.05777036398649216,0.06698620319366455,0.04027026519179344,0.07507041841745377
R04,01,32,411,10,0.06315524876117706,0.07351498305797577,0.04193304106593132,0.07418757677078247
R04,01,33,411,10,0.06653957813978195,0.07477156072854996,0.04459612816572189,0.07255714386701584
R04,01,34,411,10,0.07514595985412598,0.08788441866636276,0.04796762019395828,0.08271564543247223
R04,01,35,411,11,0.06307881325483322,0.07287272065877914,0.04489313066005707,0.07396009564399719
R04,01,36,411,11,0.07230241596698761,0.08300312608480453,0.05148160085082054,0.08355103433132172
R04,01,37,411,12,0.05829232931137085,0.06653527915477753,0.04203958436846733,0.07032519578933716
R04,01,38,411,13,0.06228509917855263,0.06963807344436646,0.042907245457172394,0.0711786225438118
R04,01,39,411,13,0.06621323525905609,0.07126341015100479,0.04700609669089317,0.07523390650749207
R04,01,40,411,14,0.06665417551994324,0.07163871824741364,0.04798222705721855,0.07656685262918472
R04,01,41,411,15,0.07298216223716736,0.07741203904151917,0.04984821379184723,0.07587183266878128
R04,01,42,411,15,0.05999477580189705,0.06474011391401291,0.04372979328036308,0.06733021140098572
R04,01,43,411,15,0.056963298469781876,0.06167023256421089,0.04094690829515457,0.06564733386039734
R04,01,44,411,15,0.06013321503996849,0.06573379039764404,0.04101672023534775,0.06573805212974548
R04,01,45,411,15,0.06047597527503967,0.06616689264774323,0.042134322226047516,0.06827143579721451
R04,01,46,411,17,0.059535473585128784,0.06521348655223846,0.043116435408592224,0.06981126964092255
R04,01,47,411,17,0.05589207261800766,0.06278776377439499,0.04233842343091965,0.0690021887421608
R04,01,48,411,17,0.05447307601571083,0.05929064378142357,0.041435640305280685,0.06612899899482727
R04,01,49,411,18,0.056686412543058395,0.061863016337156296,0.042802974581718445,0.06863783299922943
R04,01,50,411,20,0.06853608042001724,0.07422122359275818,0.046727877110242844,0.07302895933389664
R04,01,51,411,20,0.06979108601808548,0.07510314136743546,0.04668305441737175,0.07477913796901703
R04,01,52,411,20,0.060244232416152954,0.06610280275344849,0.04186267778277397,0.0664418563246727
R04,01,53,411,20,0.06620118021965027,0.07168632000684738,0.04517330229282379,0.0724983960390091
R04,01,54,411,20,0.06481509655714035,0.0703444629907608,0.04498809203505516,0.07291918992996216
R04,01,55,411,20,0.06552930921316147,0.07140957564115524,0.046692490577697754,0.07461971789598465
R04,01,56,411,20,0.06413634866476059,0.07007260620594025,0.04791833460330963,0.07550439983606339
R04,01,57,411,20,0.06322460621595383,0.06833072751760483,0.046560876071453094,0.07389909774065018
R04,01,58,411,20,0.06301179528236389,0.0681566670536995,0.04602685198187828,0.07199327647686005
R04,01,59,411,20,0.06216581538319588,0.06720186024904251,0.047830741852521896,0.07500608265399933
R04,01,60,411,20,0.059728387743234634,0.06524542719125748,0.04384192079305649,0.07032443583011627
R04,01,61,411,20,0.056375786662101746,0.061161499470472336,0.04091973230242729,0.06542550772428513
R04,01,62,411,20,0.05614696815609932,0.06208296865224838,0.03969486057758331,0.06382118165493011
R04,01,63,411,20,0.06123793497681618,0.06668999791145325,0.041574861854314804,0.06602470576763153
R04,01,64,411,20,0.06089184805750847,0.06785478442907333,0.038946930319070816,0.0646875873208046
R04,01,65,411,20,0.06199987977743149,0.0693056508898735,0.039569783955812454,0.0664067193865776
R04,01,66,411,20,0.0602746307849884,0.06713611632585526,0.03735487908124924,0.06358207017183304
R04,01,67,411,20,0.05988401174545288,0.0670873373746872,0.037719886749982834,0.06293786317110062
R04,01,68,411,20,0.05790134146809578,0.06572012603282928,0.03843250870704651,0.06313367933034897
R04,01,69,411,20,0.05614698678255081,0.06319818645715714,0.03647306188941002,0.059874992817640305
R04,01,70,411,20,0.05604694411158562,0.06298442929983139,0.03694692626595497,0.06063365936279297
R04,01,71,411,20,0.05605344474315643,0.06369032710790634,0.03752784803509712,0.0625777468085289
R04,01,72,411,20,0.05627677962183952,0.06438883394002914,0.03798777982592583,0.06288298964500427
