video,start,end,frames,mean_appearance,mean_temporal
01,37,42,6,3.008482787599417,0.0
01,184,229,46,2.882299663233439,0.054678195621097075
02,37,45,9,3.1954661854109987,0.07390364250528063
02,173,255,83,2.900540967890865,0.0714136784911523
03,37,64,28,3.0539718796359847,0.03105163111078842
03,260,408,149,3.0667087293862245,0.07391327309577392
04,37,53,17,3.064558528961732,0.011395254574888398
04,144,190,47,2.868291221217648,0.1212801894006094
05,37,93,57,2.9729809242751837,0.020807064779488457
05,186,289,104,2.9301586418273717,0.06750476504223829
06,230,232,3,3.0744707497250325,0.18639905824434946
07,200,230,31,2.9244629308910737,0.12087563862296312
08,224,234,11,2.961991815586346,0.01231406758864914
09,37,228,192,2.7179551505820805,0.10626975629652291
10,37,230,194,2.2977308610310656,0.05977759952366896
11,42,55,14,1.393323045239899,0.040308243711752456
11,83,85,3,1.8749887589581828,0.0
11,89,231,143,1.8527381759255368,0.10340895159132274
12,68,69,2,2.1554754781138934,0.06969134648918685
12,120,120,1,1.4596655062427037,0.0
12,193,194,2,1.2096065337649011,0.40868529149551336
12,198,230,33,1.3376503994031792,0.6947727504472687
13,166,167,2,1.3115513862870727,0.09141409752979592
