video,start,end,cold_start,detected,delay_frames,alarm_preexisting_at_onset
01,0,719,True,True,337,False
02,0,675,True,True,473,False
03,0,673,True,False,,False
04,0,682,True,False,,False
05,348,406,False,True,46,False
06,131,581,False,True,35,False
07,269,685,False,True,170,False
08,242,646,False,True,72,False
09,620,711,False,False,,False
10,445,646,False,True,84,False
11,490,705,False,True,194,False
12,95,205,False,False,,False
12,325,384,False,False,,False
13,428,529,False,False,,False
14,363,416,False,False,,False
14,645,718,False,True,24,False
15,620,691,False,True,51,False
