video,start,end,cold_start,detected,delay_frames,alarm_preexisting_at_onset
01,78,377,False,True,2,False
02,67,352,False,True,66,False
03,65,380,False,False,,False
04,261,378,False,False,,False
05,135,464,False,True,103,False
06,92,504,False,False,,False
07,122,203,False,False,,False
07,412,480,False,False,,False
08,134,243,False,False,,False
08,371,415,False,False,,False
08,500,574,False,True,12,False
09,128,333,False,False,,False
10,88,222,False,True,19,False
11,170,239,False,False,,False
11,279,334,False,False,,False
12,155,239,False,False,,False
12,370,429,False,True,31,False
12,531,609,False,False,,False
13,89,463,False,True,4,False
14,65,384,False,True,13,False
15,54,375,False,False,,False
16,71,417,False,True,11,False
17,95,181,False,True,67,False
17,510,549,False,True,0,False
18,65,205,False,False,,False
19,166,276,False,False,,False
