video,start,end,frames,mean_appearance,mean_temporal
01,378,401,24,1.2796976903916317,0.22492468374398547
01,405,410,6,1.3321753484609633,0.07776136322776024
08,432,438,7,0.6183168437114566,0.834473851310013
08,463,466,4,0.6216509860088577,0.9094874540052954
08,579,580,2,0.45283212244458293,0.8948750894318291
08,585,595,11,0.896893594730852,1.1206354556156641
11,255,256,2,0.8069914305013665,0.5759428325247444
11,394,396,3,1.3929963580311877,0.022422577234813224
11,408,423,16,1.0893847364842664,1.0426085452024123
12,430,431,2,0.3192000639262187,0.9869413382884344
12,632,634,3,0.4091089490521645,0.9922559602720877
17,507,509,3,1.3272581218233706,0.16490126733540925
17,550,552,3,0.9140697834623289,0.4076539762372849
17,557,572,16,1.0795225562833675,0.9762978649132279
