scene,video,variant,frame,source_frame,phase,label,unconditional,top3_weighted,time5,time21,appearance_time_max
R03,03,normal,18,18,7,0,0.030393624678254128,0.04243319481611252,0.3443328550932563,1.5030402404864385,0.46437051165099497
R03,03,normal,19,19,7,0,0.03133377432823181,0.04366486519575119,0.3443328550932563,1.5030402404864385,0.47784937900606406
R03,03,normal,20,20,7,0,0.030511632561683655,0.04223478585481644,0.3443328550932563,1.5030402404864385,0.4621992098842419
R03,03,normal,21,21,7,0,0.030918927863240242,0.04363591969013214,0.3443328550932563,1.4202363872378214,0.47753261192518404
R03,03,normal,22,22,7,0,0.031000891700387,0.042808569967746735,0.3443328550932563,1.3647605383616859,0.46847845478327266
R03,03,normal,23,23,7,0,0.030678896233439445,0.04272757098078728,0.3443328550932563,1.3366126938580307,0.4675920369403415
R03,03,normal,24,24,7,0,0.03064187429845333,0.04294538125395775,0.3443328550932563,1.335792853726857,0.46997565826400883
R03,03,normal,25,25,7,0,0.02991671673953533,0.04228920489549637,0.3443328550932563,1.3623010179681636,0.462794748303482
R03,03,normal,26,26,7,0,0.03056669794023037,0.04279010742902756,0.3443328550932563,1.4161371865819503,0.46827640875330595
R03,03,normal,27,27,7,0,0.03134513646364212,0.0438869409263134,0.3443328550932563,1.4973013595682172,0.4802796796485998
R03,03,normal,28,28,7,0,0.031760141253471375,0.044315971434116364,0.3443328550932563,1.6057935369269658,0.4849748037674818
R03,03,normal,29,29,7,0,0.031197987496852875,0.044342271983623505,0.9147776183644168,1.7416137186581946,0.485262625593867
R03,03,normal,30,30,7,0,0.031651195138692856,0.044420260936021805,1.6,2.0,0.5077835337217078
R03,03,normal,31,31,11,0,0.030089804902672768,0.04197891056537628,1.6,1.7142857142857142,0.4593990215036335
R03,03,normal,32,32,11,0,0.029435422271490097,0.04077405482530594,0.9147776183644168,1.4558994329439088,0.4462136019539923
R03,03,normal,33,33,11,0,0.03033503144979477,0.04162488877773285,0.3443328550932563,1.2248411559745849,0.45552476034144646
R03,03,normal,34,34,11,0,0.029405435547232628,0.040887802839279175,0.3443328550932563,1.0476190476190477,0.4474584109691263
R03,03,normal,35,35,11,0,0.02960701659321785,0.04037964344024658,0.3443328550932563,0.9250529480084722,0.44189733452527996
R03,03,normal,36,36,11,0,0.03016398288309574,0.04128739982843399,0.3443328550932563,0.8571428571428571,0.45183142740383414
R03,03,normal,37,37,11,0,0.029187137261033058,0.040363483130931854,0.3443328550932563,0.8438887750222038,0.4417204830971129
R03,03,normal,38,38,11,0,0.02978648617863655,0.04146843031048775,0.5147776183644168,0.885290701646511,0.453812546618167
R03,03,normal,39,39,11,0,0.029042571783065796,0.040062449872493744,0.8,0.9813486370157813,0.4384261054559604
R03,03,normal,40,40,13,0,0.03030506707727909,0.04181089252233505,0.8,1.2273006763681071,0.4575603047878224
R03,03,normal,41,41,13,0,0.029514556750655174,0.04057994484901428,0.5147776183644168,1.0517182482749188,0.4440893464177843
R03,03,normal,42,42,13,0,0.0303574837744236,0.04234594851732254,0.3443328550932563,1.0111361617817853,0.46341572593230634
R03,03,normal,43,43,13,0,0.029409322887659073,0.041282616555690765,0.3443328550932563,0.997882079661132,0.45177908133795897
R03,03,normal,44,44,13,0,0.029281817376613617,0.04053843766450882,0.3443328550932563,1.0119560019129603,0.44363510976203585
R03,03,normal,45,45,13,0,0.029806222766637802,0.04043613374233246,0.3443328550932563,1.0533579285372687,0.442515539932547
R03,03,normal,46,46,13,0,0.03067038767039776,0.04252903163433075,0.3443328550932563,1.1220878595340575,0.46541930829484573
R03,03,normal,47,47,13,0,0.031015710905194283,0.04346480220556259,0.3443328550932563,1.2173259547721527,0.4756599762632607
R03,03,normal,48,48,13,0,0.030422993004322052,0.041574668139219284,0.3443328550932563,1.312564050010248,0.45497516741772137
R03,03,normal,49,49,13,0,0.030057033523917198,0.040965065360069275,0.3443328550932563,1.4078021452483431,0.448303938544088
R03,03,normal,50,50,13,0,0.030050890520215034,0.04115511476993561,0.3443328550932563,1.5030402404864385,0.4503837569994518
R03,03,normal,51,51,13,0,0.029759377241134644,0.04115778207778931,0.3443328550932563,1.5030402404864385,0.4504129468617311
R03,03,normal,52,52,13,0,0.03237343952059746,0.04423488676548004,0.3443328550932563,1.5030402404864385,0.48408744826137684
R03,03,normal,53,53,13,0,0.031208891421556473,0.042039234191179276,0.3443328550932563,1.5030402404864385,0.460059177145936
R03,03,normal,54,54,13,0,0.03189891204237938,0.042892418801784515,0.3443328550932563,1.5030402404864385,0.4693960601187229
R03,03,normal,55,55,13,0,0.03137805312871933,0.04221707955002785,0.3443328550932563,1.5030402404864385,0.46200543975098285
R03,03,normal,56,56,13,0,0.030202895402908325,0.04061703756451607,0.3443328550932563,1.5030402404864385,0.44449527303610126
R03,03,normal,57,57,13,0,0.03079245798289776,0.041971947997808456,0.3443328550932563,1.5030402404864385,0.4593228261787731
R03,03,normal,58,58,13,0,0.03118913248181343,0.043194480240345,0.3443328550932563,1.5030402404864385,0.4727016897179608
R03,03,normal,59,59,13,0,0.03058386966586113,0.04152169078588486,0.3443328550932563,1.4202363872378214,0.4543954062005791
R03,03,normal,60,60,13,0,0.030977534130215645,0.041686493903398514,0.3443328550932563,1.3647605383616859,0.4561989401633915
R03,03,normal,61,61,13,0,0.030753815546631813,0.04134819656610489,0.3443328550932563,1.3366126938580307,0.4524967605775745
R03,03,normal,62,62,13,0,0.030600523576140404,0.0409252792596817,0.3443328550932563,1.335792853726857,0.44786853668774324
R03,03,normal,63,63,13,0,0.029414596036076546,0.04010075330734253,0.3443328550932563,1.3623010179681636,0.43884528166260245
R03,03,normal,64,64,13,0,0.03012855537235737,0.04070908948779106,0.3443328550932563,1.4161371865819503,0.4455026494284495
R03,03,normal,65,65,13,0,0.03000972606241703,0.04118972644209862,0.3443328550932563,1.4973013595682172,0.45076253215369333
