layer,M,N,K,kind,scene,relative_l2,cosine,max_abs,pass
proj,325,768,768,bf16,R01,0.0,2.2191267490256905e-08,0.0,True
proj,325,768,768,bf16,R02,0.0,2.2741463823194863e-08,0.0,True
proj,325,768,768,bf16,R03,0.0,2.4758852745776494e-08,0.0,True
proj,325,768,768,bf16,R04,0.0,2.3841858265427618e-08,0.0,True
proj,325,768,768,native_int4,R01,0.0,2.072407667697007e-08,0.0,True
proj,325,768,768,native_int4,R02,0.0,1.9256885863683237e-08,0.0,True
proj,325,768,768,native_int4,R03,0.0,2.604264537353629e-08,0.0,True
proj,325,768,768,native_int4,R04,0.0,2.2924863785078742e-08,0.0,True
proj,325,768,768,packed_int4,R01,0.0,2.0357278529559153e-08,0.0,True
proj,325,768,768,packed_int4,R02,0.0,1.907348590179936e-08,0.0,True
proj,325,768,768,packed_int4,R03,0.0,2.549244726424149e-08,0.0,True
proj,325,768,768,packed_int4,R04,0.0,2.34750601180167e-08,0.0,True
proj,325,768,768,dequant_only,R01,0.0,1.9480165036611652e-08,0.0,True
proj,325,768,768,dequant_only,R02,0.0,1.9480165036611652e-08,0.0,True
proj,325,768,768,dequant_only,R03,0.0,1.9480165036611652e-08,0.0,True
proj,325,768,768,dequant_only,R04,0.0,1.9480165036611652e-08,0.0,True
proj,325,768,768,predequant_gemm,R01,0.0,2.0357278529559153e-08,0.0,True
proj,325,768,768,predequant_gemm,R02,0.0,1.907348590179936e-08,0.0,True
proj,325,768,768,predequant_gemm,R03,0.0,2.549244726424149e-08,0.0,True
proj,325,768,768,predequant_gemm,R04,0.0,2.34750601180167e-08,0.0,True
proj,325,768,768,fused_int4,R01,5.226131179369986e-06,2.0357278529559153e-08,0.00048828125,True
proj,325,768,768,fused_int4,R02,0.0,1.907348590179936e-08,0.0,True
proj,325,768,768,fused_int4,R03,2.7502148896019207e-06,2.549244726424149e-08,0.000244140625,True
proj,325,768,768,fused_int4,R04,2.1746796846855432e-05,2.34750601180167e-08,0.001953125,True
