scene,video,frame,video_length,mse,phase
R01,01,8,230,0.018901508301496506,10
R01,01,9,230,0.019015511497855186,11
R01,01,10,230,0.018977820873260498,11
R01,01,11,230,0.019091149792075157,12
R01,01,12,230,0.019297555088996887,12
R01,01,13,230,0.01940772868692875,13
R01,01,14,230,0.01954403705894947,14
R01,01,15,230,0.019722944125533104,15
R01,01,16,230,0.019772721454501152,16
R01,01,17,230,0.019685514271259308,17
R01,01,18,230,0.019732234999537468,18
R01,01,19,230,0.019778596237301826,18
R01,01,20,230,0.01978493481874466,19
R01,01,21,230,0.019864749163389206,21
R01,01,22,230,0.019792892038822174,22
R01,01,23,230,0.019695883616805077,22
R01,01,24,230,0.019754692912101746,23
R01,01,25,230,0.01979217305779457,24
R01,01,26,230,0.019745370373129845,25
R01,01,27,230,0.019791338592767715,26
R01,01,28,230,0.019713416695594788,27
R01,01,29,230,0.019694289192557335,28
R01,01,30,230,0.019752051681280136,28
R01,01,31,230,0.0197669118642807,29
R01,01,32,230,0.01981225237250328,30
R01,01,33,230,0.0198060255497694,31
R01,01,34,230,0.01989067532122135,32
R01,01,35,230,0.01988077722489834,33
R01,01,36,230,0.019926346838474274,34
R01,01,37,230,0.019871894270181656,36
R01,01,38,230,0.019950296729803085,36
R01,01,39,230,0.01997644081711769,37
R01,01,40,230,0.019871145486831665,39
R01,01,41,230,0.01974020153284073,40
R01,01,42,230,0.019870316609740257,42
R01,01,43,230,0.020015163347125053,34
R01,01,44,230,0.019948262721300125,35
R01,01,45,230,0.019599584862589836,45
R01,01,46,230,0.019564848393201828,46
R01,01,47,230,0.019511789083480835,47
R01,01,48,230,0.01950320228934288,47
R01,01,49,230,0.019492607563734055,48
R01,01,50,230,0.019466543570160866,51
R01,01,51,230,0.019520219415426254,52
R01,01,52,230,0.01948448084294796,52
R01,01,53,230,0.01953348144888878,53
R01,01,54,230,0.01958681084215641,56
R01,01,55,230,0.01957041770219803,56
R01,01,56,230,0.019379718229174614,57
R01,01,57,230,0.01939726434648037,58
R01,01,58,230,0.01953100971877575,61
R01,01,59,230,0.01950124464929104,61
R01,01,60,230,0.01948515884578228,62
R01,01,61,230,0.019619949162006378,63
R01,01,62,230,0.019745439291000366,67
R01,01,63,230,0.019591450691223145,68
R01,01,64,230,0.019629042595624924,69
R01,01,65,230,0.019551528617739677,70
R01,01,66,230,0.0195050947368145,71
R01,01,67,230,0.019507016986608505,73
R01,01,68,230,0.01948341354727745,74
R01,01,69,230,0.019493795931339264,75
R01,01,70,230,0.019592618569731712,77
R01,01,71,230,0.0196238923817873,79
R01,01,72,230,0.019597698003053665,80
R01,01,73,230,0.01973966509103775,81
R01,01,74,230,0.01970420405268669,82
R01,01,75,230,0.019593771547079086,84
R01,01,76,230,0.019870370626449585,86
R01,01,77,230,0.020513933151960373,87
R01,01,78,230,0.02004832960665226,88
R01,01,79,230,0.01969321444630623,90
R01,01,80,230,0.019563693553209305,91
R01,01,81,230,0.01962452195584774,91
R01,01,82,230,0.019765539094805717,92
R01,01,83,230,0.01957114413380623,94
R01,01,84,230,0.01968216523528099,96
