scene,video,frame,video_length,mse,phase,label,phase_error,negative_psnr,negative_psnr_normalized,phase_error_normalized,negative_psnr_with_phase
R01,01,10,230,0.018977820873260498,11,0,0.4911447084233259,-17.217536568745015,0.8457299106758532,0.03628107074569784,0.44100549071077555
R01,01,11,230,0.019091149792075157,12,0,0.4911447084233259,-17.191679148061084,0.8477161370653662,0.03628107074569784,0.44199860390553203
R01,01,12,230,0.019297555088996887,12,0,0.4,-17.144977106097315,0.8513035338643916,0.02619502868068831,0.43874928127254
R01,01,13,230,0.01940772868692875,13,0,0.25442764578833704,-17.120252877158222,0.8532027146287633,0.010086042065009541,0.4316443783468864
R01,01,14,230,0.01954403705894947,14,0,0.1632829373650111,-17.08985722534722,0.8555375432449439,0.0,0.42776877162247195
R01,01,15,230,0.019722944125533104,15,0,0.1632829373650111,-17.0502825562016,0.85857745403783,0.0,0.429288727018915
R01,01,16,230,0.019772721454501152,16,0,0.1632829373650111,-17.0393355166096,0.8594183460660975,0.0,0.42970917303304873
R01,01,17,230,0.019685514271259308,17,0,0.25442764578833704,-17.058532350646217,0.857943749708452,0.010086042065009541,0.43401489588673076
R01,01,18,230,0.019732234999537468,18,0,0.4,-17.04823720982315,0.8587345664196965,0.02619502868068831,0.4424647975501924
R01,01,19,230,0.019778596237301826,18,0,0.6,-17.038045351871546,0.8595174495026261,0.0483269598470363,0.4539222046748312
R01,01,20,230,0.01978493481874466,19,0,0.654427645788337,-17.036653761741047,0.8596243438860361,0.054349904397705526,0.4569871241418708
R01,01,21,230,0.019864749163389206,21,0,0.654427645788337,-17.01916914507119,0.8609674170202322,0.054349904397705526,0.4576586607089688
R01,01,22,230,0.019792892038822174,22,0,0.6,-17.034907442101034,0.8597584866605966,0.0483269598470363,0.45404272325381645
R01,01,23,230,0.019695883616805077,22,0,0.4,-17.056245306560914,0.8581194279932948,0.02619502868068831,0.44215722833699156
R01,01,24,230,0.019754692912101746,23,0,0.25442764578833704,-17.043297170640972,0.8591140333552739,0.010086042065009541,0.4346000377101417
R01,01,25,230,0.01979217305779457,24,0,0.1632829373650111,-17.03506520336385,0.859746368298627,0.0,0.4298731841493135
R01,01,26,230,0.019745370373129845,25,0,0.1632829373650111,-17.04534715586695,0.8589565646423765,0.0,0.42947828232118823
R01,01,27,230,0.019791338592767715,26,0,0.1632829373650111,-17.035248311704393,0.8597323029120375,0.0,0.42986615145601875
R01,01,28,230,0.019713416695594788,27,0,0.25442764578833704,-17.05238098021603,0.8584162645207165,0.010086042065009541,0.434251153292863
R01,01,29,230,0.019694289192557335,28,0,0.4,-17.056596891539396,0.8580924211479116,0.02619502868068831,0.4421437249143
R01,01,30,230,0.019752051681280136,28,0,0.4,-17.04387786742314,0.8590694273875269,0.02619502868068831,0.4426322280341076
R01,01,31,230,0.0197669118642807,29,0,0.25442764578833704,-17.04061174139028,0.8593203134212595,0.010086042065009541,0.4347031777431345
R01,01,32,230,0.01981225237250328,30,0,0.1632829373650111,-17.030661485228404,0.8600846379690446,0.0,0.4300423189845223
R01,01,33,230,0.0198060255497694,31,0,0.1632829373650111,-17.032026650458796,0.859979773402706,0.0,0.429989886701353
R01,01,34,230,0.01989067532122135,32,0,0.1632829373650111,-17.013504716115584,0.8614025276374383,0.0,0.43070126381871915
R01,01,35,230,0.01988077722489834,33,0,0.3632829373650111,-17.015666411717824,0.861236477941154,0.022131931166347995,0.441684204553751
R01,01,36,230,0.019926346838474274,34,0,0.3632829373650111,-17.005723146119415,0.862000265511883,0.022131931166347995,0.44206609833911553
R01,01,37,230,0.019871894270181656,36,0,0.8,-17.017607321918607,0.8610873877783108,0.0704588910133843,0.4657731393958476
R01,01,38,230,0.019950296729803085,36,0,0.5088552915766741,-17.000506404705796,0.862400987207587,0.03824091778202676,0.45032095249480686
R01,01,39,230,0.01997644081711769,37,0,0.654427645788337,-16.994818870398966,0.8628378726521784,0.054349904397705526,0.45859388852494193
R01,01,40,230,0.019871145486831665,39,0,0.7632829373650111,-17.017770969429755,0.8610748172667663,0.06639579349904398,0.46373530538290514
R01,01,41,230,0.01974020153284073,40,0,2.054427645788337,-17.04648417818668,0.8588692247733106,0.2092734225621415,0.534071323667726
R01,01,42,230,0.019870316609740257,42,0,4.0,-17.017952128716825,0.8610609015958616,0.42456978967495224,0.6428153456354069
R01,01,43,230,0.020015163347125053,34,1,5.2,-16.986408611938714,0.8634839029542943,0.5573613766730402,0.7104226398136673
R01,01,44,230,0.019948262721300125,35,1,5.454427645788337,-17.000949206993347,0.8623669735447541,0.5855162523900574,0.7239416129674058
R01,01,45,230,0.019599584862589836,45,1,3.763282937365011,-17.077531273065762,0.8564843558445674,0.39837476099426394,0.6274295584194156
R01,01,46,230,0.019564848393201828,46,1,2.054427645788337,-17.085235130712984,0.8558925874100045,0.2092734225621415,0.532583004986073
R01,01,47,230,0.019511789083480835,47,1,0.4,-17.097029072605157,0.8549866409542866,0.02619502868068831,0.44059083481748745
R01,01,48,230,0.01950320228934288,47,1,0.8,-17.098940746677272,0.8548397965517996,0.0704588910133843,0.462649343782592
