video,frame,video_length,phase,appearance,temporal,appearance_score,temporal_score,combined_score,label,unfiltered_score,threshold,above_threshold,alarm_active,new_alarm
01,35,720,5,0.03317370265722275,2.869440459110473,0.18586492536327956,0.052147827580984636,0.1190063764721321,1,0.1190063764721321,1.500572575395476,False,False,False
01,36,720,5,0.033592455089092255,2.869440459110473,0.19298060378348175,0.052147827580984636,0.12256421568223319,1,0.12256421568223319,1.500572575395476,False,False,False
01,37,720,5,0.03386000543832779,2.869440459110473,0.19752697080485854,0.052147827580984636,0.12483739919292158,1,0.12483739919292158,1.500572575395476,False,False,False
01,38,720,5,0.033024080097675323,2.869440459110473,0.18332245411506767,0.052147827580984636,0.11773514084802615,1,0.11773514084802615,1.500572575395476,False,False,False
01,39,720,5,0.03308390825986862,2.869440459110473,0.18433908812179714,0.052147827580984636,0.11824345785139088,1,0.11824345785139088,1.500572575395476,False,False,False
01,40,720,9,0.03288731351494789,1.5254492040718726,0.1809984389040428,0.0,0.0904992194520214,1,0.0904992194520214,1.500572575395476,False,False,False
01,41,720,9,0.03248858079314232,1.3623010179681623,0.17422294673241867,0.0,0.08711147336620934,1,0.08711147336620934,1.500572575395476,False,False,False
01,42,720,9,0.03232010826468468,1.2264808362369335,0.1713601661396208,0.0,0.0856800830698104,1,0.0856800830698104,1.500572575395476,False,False,False
01,43,720,9,0.032858956605196,1.117988658878185,0.1805165822378395,0.0,0.09025829111891975,1,0.09025829111891975,1.500572575395476,False,False,False
01,44,720,15,0.0326569564640522,5.892464302794289,0.17708408146692423,0.25305658463831215,0.2150703330526182,1,0.2150703330526182,1.500572575395476,False,False,False
01,45,720,15,0.03270694985985756,5.443601830976293,0.17793359755473928,0.22322539376264228,0.20057949565869077,1,0.20057949565869077,1.500572575395476,False,False,False
01,46,720,15,0.03319638594985008,5.022067363530779,0.18625037271489697,0.19521040933297967,0.19073039102393832,1,0.19073039102393832,1.500572575395476,False,False,False
01,47,720,15,0.0325944758951664,4.627860900457744,0.17602237626388145,0.16901163134932434,0.1725170038066029,1,0.1725170038066029,1.500572575395476,False,False,False
01,48,720,15,0.03277270123362541,4.260982441757191,0.1790508821262695,0.1446290598116764,0.16183997096897296,1,0.16183997096897296,1.500572575395476,False,False,False
01,49,720,15,0.032680023461580276,3.921431987429119,0.177476048949469,0.12206269472003572,0.14976937183475236,1,0.14976937183475236,1.500572575395476,False,False,False
01,50,720,15,0.0325174480676651,3.609209537473527,0.17471347580577776,0.10131253607440231,0.13801300594009003,1,0.13801300594009003,1.500572575395476,False,False,False
01,51,720,17,0.033542532473802567,4.464712714354034,0.19213229043826496,0.15816887886666076,0.17515058465246286,1,0.17515058465246286,1.500572575395476,False,False,False
01,52,720,17,0.033118896186351776,3.948759991801598,0.18493362277878364,0.12387890116604292,0.15440626197241328,1,0.15440626197241328,1.500572575395476,False,False,False
01,53,720,17,0.03302488848567009,3.4874632779941237,0.1833361907015845,0.09322133635743969,0.1382787635295121,1,0.1382787635295121,1.500572575395476,False,False,False
01,54,720,17,0.03280211240053177,3.0808225729316114,0.17955065332696246,0.0661961844408511,0.12287341888390678,1,0.12287341888390678,1.500572575395476,False,False,False
01,55,720,17,0.032265789806842804,2.7288378766140604,0.1704371561488286,0.042803445416277106,0.10662030078255286,1,0.10662030078255286,1.500572575395476,False,False,False
01,56,720,17,0.03158172592520714,2.43150918904147,0.15881315535469945,0.02304311928371767,0.09092813731920855,1,0.09092813731920855,1.500572575395476,False,False,False
01,57,720,17,0.032163556665182114,2.1888365102138416,0.16869995272126465,0.006915206043172854,0.08780757938221875,1,0.08780757938221875,1.500572575395476,False,False,False
01,58,720,17,0.031528882682323456,2.0,0.1579152130517444,0.0,0.0789576065258722,1,0.0789576065258722,1.500572575395476,False,False,False
01,59,720,17,0.03159761801362038,1.8384914941586399,0.1590832027191271,0.0,0.07954160135956355,1,0.07954160135956355,1.500572575395476,False,False,False
01,60,720,17,0.033318549394607544,1.7043109926897597,0.1883262431372307,0.0,0.09416312156861535,1,0.09416312156861535,1.500572575395476,False,False,False
01,61,720,17,0.03182785212993622,1.7879346860695504,0.1629954711822592,0.0,0.0814977355911296,1,0.0814977355911296,1.500572575395476,False,False,False
01,62,720,17,0.033383727073669434,1.8988863838218213,0.1894337791634909,0.0,0.09471688958174546,1,0.09471688958174546,1.500572575395476,False,False,False
01,63,720,17,0.03348105028271675,2.037166085946574,0.19108755023608168,0.0,0.09554377511804084,1,0.09554377511804084,1.500572575395476,False,False,False
01,64,720,17,0.03229786455631256,2.2027737924438062,0.1709821884525609,0.00784147133063654,0.08941182989159872,1,0.08941182989159872,1.500572575395476,False,False,False
01,65,720,18,0.03298577666282654,1.4673771947803511,0.18267158046268955,0.0,0.09133579023134478,1,0.09133579023134478,1.500572575395476,False,False,False
