layer,M,N,K,kind,scene,relative_l2,cosine,max_abs,pass
proj,1,768,768,bf16,R01,5.276673982734792e-05,5.960464477539063e-08,0.000244140625,True
proj,1,768,768,bf16,R02,0.0,0.0,0.0,True
proj,1,768,768,bf16,R03,1.5531770714005688e-07,0.0,7.152557373046875e-07,True
proj,1,768,768,bf16,R04,1.632522783623358e-09,0.0,7.450580596923828e-09,True
proj,1,768,768,native_int4,R01,0.0,0.0,0.0,True
proj,1,768,768,native_int4,R02,0.0,0.0,0.0,True
proj,1,768,768,native_int4,R03,0.0,0.0,0.0,True
proj,1,768,768,native_int4,R04,0.0,5.960464477539063e-08,0.0,True
proj,1,768,768,packed_int4,R01,0.0,0.0,0.0,True
proj,1,768,768,packed_int4,R02,0.0,0.0,0.0,True
proj,1,768,768,packed_int4,R03,0.0,0.0,0.0,True
proj,1,768,768,packed_int4,R04,0.0,5.960464477539063e-08,0.0,True
proj,1,768,768,dequant_only,R01,0.0,1.9480165036611652e-08,0.0,True
proj,1,768,768,dequant_only,R02,0.0,1.9480165036611652e-08,0.0,True
proj,1,768,768,dequant_only,R03,0.0,1.9480165036611652e-08,0.0,True
proj,1,768,768,dequant_only,R04,0.0,1.9480165036611652e-08,0.0,True
proj,1,768,768,predequant_gemm,R01,0.0,0.0,0.0,True
proj,1,768,768,predequant_gemm,R02,0.0,0.0,0.0,True
proj,1,768,768,predequant_gemm,R03,0.0,0.0,0.0,True
proj,1,768,768,predequant_gemm,R04,0.0,5.960464477539063e-08,0.0,True
proj,1,768,768,fused_int4,R01,0.0,0.0,0.0,True
proj,1,768,768,fused_int4,R02,0.0,0.0,0.0,True
proj,1,768,768,fused_int4,R03,0.0,0.0,0.0,True
proj,1,768,768,fused_int4,R04,0.0,5.960464477539063e-08,0.0,True
