layer,M,N,K,kind,scene,relative_l2,cosine,max_abs,pass
qkv,1,2304,768,bf16,R01,1.1579320016608108e-05,0.0,0.0009765625,True
qkv,1,2304,768,bf16,R02,1.1579320016608108e-05,0.0,0.0009765625,True
qkv,1,2304,768,bf16,R03,1.1579320016608108e-05,0.0,0.0009765625,True
qkv,1,2304,768,bf16,R04,1.1579320016608108e-05,0.0,0.0009765625,True
qkv,1,2304,768,native_int4,R01,0.0,1.7881393432617188e-07,0.0,True
qkv,1,2304,768,native_int4,R02,0.0,1.7881393432617188e-07,0.0,True
qkv,1,2304,768,native_int4,R03,0.0,1.7881393432617188e-07,0.0,True
qkv,1,2304,768,native_int4,R04,0.0,1.7881393432617188e-07,0.0,True
qkv,1,2304,768,packed_int4,R01,2.0803816369152628e-05,1.1920928955078125e-07,0.001953125,True
qkv,1,2304,768,packed_int4,R02,2.0803816369152628e-05,1.1920928955078125e-07,0.001953125,True
qkv,1,2304,768,packed_int4,R03,2.0803816369152628e-05,1.1920928955078125e-07,0.001953125,True
qkv,1,2304,768,packed_int4,R04,2.0803816369152628e-05,1.1920928955078125e-07,0.001953125,True
qkv,1,2304,768,dequant_only,R01,0.0,2.4990489677634287e-08,0.0,True
qkv,1,2304,768,dequant_only,R02,0.0,2.4990489677634287e-08,0.0,True
qkv,1,2304,768,dequant_only,R03,0.0,2.4990489677634287e-08,0.0,True
qkv,1,2304,768,dequant_only,R04,0.0,2.4990489677634287e-08,0.0,True
qkv,1,2304,768,predequant_gemm,R01,2.0803816369152628e-05,1.1920928955078125e-07,0.001953125,True
qkv,1,2304,768,predequant_gemm,R02,2.0803816369152628e-05,1.1920928955078125e-07,0.001953125,True
qkv,1,2304,768,predequant_gemm,R03,2.0803816369152628e-05,1.1920928955078125e-07,0.001953125,True
qkv,1,2304,768,predequant_gemm,R04,2.0803816369152628e-05,1.1920928955078125e-07,0.001953125,True
qkv,1,2304,768,fused_int4,R01,2.0803816369152628e-05,1.1920928955078125e-07,0.001953125,True
qkv,1,2304,768,fused_int4,R02,2.0803816369152628e-05,1.1920928955078125e-07,0.001953125,True
qkv,1,2304,768,fused_int4,R03,2.0803816369152628e-05,1.1920928955078125e-07,0.001953125,True
qkv,1,2304,768,fused_int4,R04,2.0803816369152628e-05,1.1920928955078125e-07,0.001953125,True
