video,start,end,frames,mean_appearance,mean_temporal
10,310,311,2,0.4637592285617722,0.9422424861542336
10,329,330,2,0.375065386980446,1.4323603709292543
12,494,499,6,0.22984964127906107,1.509969421036307
12,506,509,4,0.25294049698585597,1.5571179757357976
14,279,291,13,0.22575316712330756,2.208140506209237
15,279,290,12,0.276125340071559,2.185412721298954
16,299,312,14,0.4000484763894481,2.0313046157918344
16,338,341,4,0.29764043310687727,1.4316357358735843
16,622,623,2,0.2753397000734733,1.203084885848058
16,641,644,4,0.3611513488364043,1.2384203794837603
17,309,323,15,0.8134354903464447,1.966889326678656
17,343,354,12,0.7960075704521694,0.9243983479083574
17,378,383,6,0.8739119163791181,0.6510170602611011
17,466,494,29,1.5428288382782336,0.01314206553776995
17,500,511,12,1.4126524331629486,0.1030078266306823
17,586,586,1,1.4564832014826878,0.04651966363966294
17,635,667,33,1.5204204882294317,0.2246856963344468
17,672,712,41,2.0218253377365323,0.0006111492061299757
