mode,repeat,frame,processing_ms,read_decode_ms,queue_ms,end_to_end_ms,elapsed_s,score,alarm_active,valid_score
capacity,0,0,7.095907116308808,0.3202129155397415,0.00010989606380462646,7.096017012372613,0.007110875099897385,,,False
capacity,0,1,7.8835091553628445,0.3193509764969349,0.00018998980522155762,7.883699145168066,0.015019501093775034,,,False
capacity,0,2,7.072141859680414,0.3159348852932453,0.00014016404747962952,7.072282023727894,0.022117330925539136,,,False
capacity,0,3,7.883207872509956,0.31922105699777603,0.00011012889444828033,7.883318001404405,0.030024373903870583,,,False
capacity,0,4,7.079425035044551,0.3145919181406498,0.00011990778148174286,7.079544942826033,0.03712872602045536,,,False
capacity,0,5,7.526507135480642,0.31324010342359543,0.00013993121683597565,7.526647066697478,0.04467913811095059,,,False
capacity,0,6,7.127465913072228,0.31579495407640934,0.00010011717677116394,7.127566030249,0.05183114996179938,,,False
capacity,0,7,7.084504002705216,0.3143709618598223,0.00012107193470001221,7.084625074639916,0.058943096082657576,,,False
capacity,0,8,7.558497134596109,0.3347501624375582,0.00010989606380462646,7.558607030659914,0.06652992707677186,,,False
capacity,0,9,7.190234027802944,0.3318649251013994,0.00011990778148174286,7.190353935584426,0.07376080704852939,,,False
capacity,0,10,7.931899977847934,0.32093399204313755,0.00013993121683597565,7.93203990906477,0.08172667096368968,,,False
capacity,0,11,7.107988931238651,0.32055284827947617,0.00012107193470001221,7.108110003173351,0.0888688350096345,,,False
capacity,0,12,7.908425061032176,0.32071396708488464,8.987262845039368e-05,7.908514933660626,0.09680968103930354,,,False
capacity,0,13,7.127095013856888,0.3238299395889044,0.00012991949915885925,7.127224933356047,0.10397185198962688,,,False
capacity,0,14,7.548627909272909,0.32654497772455215,0.00011012889444828033,7.5487380381673574,0.11154943495057523,,,False
capacity,0,15,7.427921053022146,0.3170270938426256,9.988434612751007e-05,7.428020937368274,0.1190078139770776,,,False
capacity,0,16,7.958960952237248,0.325723085552454,0.00013993121683597565,7.959100883454084,0.1269963609520346,,,False
capacity,0,17,7.370602805167437,0.32739597372710705,0.00013015232980251312,7.370732957497239,0.13439574791118503,,,False
capacity,0,18,7.353520952165127,0.316134886816144,0.00015995465219020844,7.353680906817317,0.1417762499768287,,,False
capacity,0,19,8.090900024399161,0.3137909807264805,0.00012014061212539673,8.091020165011287,0.14989366009831429,,,False
capacity,0,20,7.366686128079891,0.3308032173663378,0.00012991949915885925,7.36681604757905,0.15728987101465464,,,False
capacity,0,21,8.096378995105624,0.3154331352561712,0.00012991949915885925,8.096508914604783,0.1654130609240383,,,False
capacity,0,22,7.351506967097521,0.3155139274895191,0.00014994293451309204,7.351656910032034,0.17279102792963386,,,False
capacity,0,23,8.157855831086636,0.31157699413597584,0.00013015232980251312,8.157985983416438,0.1809743419289589,,,False
