video,frame,video_length,phase,appearance,temporal,appearance_score,temporal_score,combined_score,label,threshold,above_threshold,alarm_active,new_alarm
01,35,411,16,0.05267316475510597,2.946296641211895,0.7972329498770158,0.01794223933191665,0.4075875946044662,0,0.7218813506083503,False,False,False
01,36,411,16,0.04989108443260193,2.8572049419507044,0.6991961949385131,0.015926809708331494,0.3575615023234223,0,0.7218813506083503,False,False,False
01,37,411,16,0.04899269714951515,2.8633513379276088,0.6675382398466297,0.01606585328515026,0.34180204656589,0,0.7218813506083503,False,False,False
01,38,411,16,0.04909248277544975,2.9191655801825296,0.6710545506004941,0.017328481321110593,0.3441915159608024,0,0.7218813506083503,False,False,False
01,39,411,17,0.044509079307317734,2.2340597255851486,0.5095415996785357,0.001830038187826772,0.25568581893318126,0,0.7218813506083503,False,False,False
01,40,411,19,0.043486371636390686,1.6513317191283274,0.47350276194355656,0.0,0.23675138097177828,0,0.7218813506083503,False,False,False
01,41,411,19,0.045179300010204315,1.427578071645867,0.5331592724941298,0.0,0.2665796362470649,0,0.7218813506083503,False,False,False
01,42,411,19,0.04157501831650734,1.319550505991184,0.40614925115288286,0.0,0.20307462557644143,0,0.7218813506083503,False,False,False
01,43,411,19,0.03959408029913902,1.3523312845346742,0.3363436695576309,0.0,0.16817183477881545,0,0.7218813506083503,False,False,False
01,44,411,21,0.04065968841314316,1.072701309989446,0.37389426099385337,0.0,0.18694713049692668,0,0.7218813506083503,False,False,False
01,45,411,21,0.04259919002652168,0.819767802818652,0.4422396796489413,0.0,0.22111983982447064,0,0.7218813506083503,False,False,False
01,46,411,21,0.043691109865903854,0.7404234183895214,0.4807174607683768,0.0,0.2403587303841884,0,0.7218813506083503,False,False,False
01,47,411,21,0.04401556774973869,0.8515552244365814,0.49215091859778676,0.0,0.24607545929889338,0,0.7218813506083503,False,False,False
01,48,411,21,0.044562194496393204,1.136772831688086,0.5114133072395228,0.0,0.2557066536197614,0,0.7218813506083503,False,False,False
01,49,411,22,0.044588495045900345,0.694356490966661,0.5123401031001321,0.0,0.25617005155006606,0,0.7218813506083503,False,False,False
01,50,411,23,0.05074983835220337,0.5279071211274616,0.7294575238036227,0.0,0.36472876190181136,0,0.7218813506083503,False,False,False
01,51,411,23,0.05075822025537491,0.6303470540758676,0.7297528907563665,0.0,0.36487644537818326,0,0.7218813506083503,False,False,False
01,52,411,23,0.05038641765713692,0.9857204941950702,0.7166510691036584,0.0,0.3583255345518292,0,0.7218813506083503,False,False,False
01,53,411,23,0.05129089578986168,1.4532190972868937,0.7485236575145356,0.0,0.3742618287572678,0,0.7218813506083503,False,False,False
01,54,411,25,0.04844603314995766,0.5688830943068235,0.6482745384628815,0.0,0.32413726923144076,0,0.7218813506083503,False,False,False
