video,start,end,cold_start,detected,delay_frames,alarm_preexisting_at_onset
03,8,303,True,True,84,False
04,10,303,True,False,,False
05,11,314,True,False,,False
06,14,319,True,True,36,False
07,220,333,False,True,92,False
08,118,165,False,False,,False
08,265,289,False,False,,False
08,496,558,False,False,,False
08,669,726,False,False,,False
09,221,290,False,False,,False
09,608,689,False,False,,False
10,300,611,False,False,,False
11,350,589,False,False,,False
15,150,349,False,False,,False
15,500,699,False,False,,False
