video,frame,video_length,phase,appearance,temporal
01,35,411,16,0.04452819004654884,3.1746445644750714
01,36,411,16,0.053505755960941315,2.944744521015706
01,37,411,16,0.04348181560635567,2.8100825727944363
01,38,411,18,0.04343793913722038,2.3410318495064244
01,39,411,18,0.04592914506793022,2.003600918855156
01,40,411,18,0.04789654165506363,1.7941888619854731
01,41,411,18,0.05018557980656624,1.7214875519960284
01,42,411,18,0.04435237869620323,1.739926739926741
01,43,411,20,0.04164895415306091,1.242689513875957
01,44,411,20,0.041461825370788574,1.0122927919538107
01,45,411,21,0.04271742329001427,0.9492767119885768
01,46,411,21,0.04432695358991623,0.7373191779971445
01,47,411,21,0.0439460426568985,0.8402557894083316
01,48,411,22,0.04260235279798508,0.741416775315081
01,49,411,22,0.04373880475759506,0.8586949773390457
01,50,411,23,0.04786675050854683,0.6953498478922204
01,51,411,25,0.048173561692237854,1.451542807475011
01,52,411,25,0.04186069220304489,0.863227168311914
01,53,411,25,0.04572051018476486,0.4889799466070667
01,54,411,25,0.045098427683115005,0.5330601601788054
01,55,411,25,0.046113599091768265,0.8551561432917367
01,56,411,25,0.047771912068128586,1.2627429068107032
01,57,411,27,0.04655889794230461,0.5637300552554796
01,58,411,27,0.04632287472486496,0.5724840131619802
01,59,411,27,0.04870086535811424,0.7931955050599115
01,60,411,27,0.045633550733327866,1.167504811572608
01,61,411,27,0.042076226323843,1.5960762401440367
01,62,411,27,0.04030483961105347,2.024647668715465
01,63,411,27,0.041662201285362244,2.453219097286894
01,64,411,27,0.039234671741724014,2.786552430620227
01,65,411,27,0.04020336642861366,3.1198857639535604
01,66,411,27,0.03825332969427109,3.405600049667846
01,67,411,27,0.038488686084747314,3.691314335382132
01,68,411,27,0.039234016090631485,3.9770286210964176
01,69,411,27,0.03771674260497093,4.215123859191656
01,70,411,27,0.03781396895647049,4.453219097286894
01,71,411,27,0.03826187178492546,4.643695287763085
01,72,411,27,0.038648106157779694,4.7389333830011795
01,73,411,27,0.038609396666288376,4.834171478239274
01,74,411,27,0.040556419640779495,4.92940957347737
01,75,411,27,0.040196385234594345,5.024647668715465
01,76,411,27,0.042222436517477036,5.11988576395356
01,77,411,27,0.05054730549454689,5.215123859191656
01,78,411,27,0.048853419721126556,5.215123859191656
01,79,411,28,0.0530150905251503,4.308313155770783
01,80,411,28,0.05859771743416786,4.310361954429751
01,81,411,28,0.05732524022459984,4.357981002048798
01,82,411,28,0.05151396617293358,4.4056000496678465
01,83,411,28,0.052206020802259445,4.453219097286894
