layer,M,N,K,kind,scene,relative_l2,cosine,max_abs,pass
qkv,64,2304,768,bf16,R01,0.0,5.587935447692871e-09,0.0,True
qkv,64,2304,768,bf16,R02,0.0,1.7695128917694092e-08,0.0,True
qkv,64,2304,768,bf16,R03,0.0,1.6763806343078613e-08,0.0,True
qkv,64,2304,768,bf16,R04,0.0,1.4901161193847656e-08,0.0,True
qkv,64,2304,768,native_int4,R01,0.0,1.3969838619232178e-08,0.0,True
qkv,64,2304,768,native_int4,R02,0.0,1.3969838619232178e-08,0.0,True
qkv,64,2304,768,native_int4,R03,0.0,1.0244548320770264e-08,0.0,True
qkv,64,2304,768,native_int4,R04,0.0,1.3969838619232178e-08,0.0,True
qkv,64,2304,768,packed_int4,R01,0.0,1.30385160446167e-08,0.0,True
qkv,64,2304,768,packed_int4,R02,0.0,1.1175870895385742e-08,0.0,True
qkv,64,2304,768,packed_int4,R03,0.0,1.4901161193847656e-08,0.0,True
qkv,64,2304,768,packed_int4,R04,0.0,1.0244548320770264e-08,0.0,True
qkv,64,2304,768,dequant_only,R01,0.0,2.4990489677634287e-08,0.0,True
qkv,64,2304,768,dequant_only,R02,0.0,2.4990489677634287e-08,0.0,True
qkv,64,2304,768,dequant_only,R03,0.0,2.4990489677634287e-08,0.0,True
qkv,64,2304,768,dequant_only,R04,0.0,2.4990489677634287e-08,0.0,True
qkv,64,2304,768,predequant_gemm,R01,0.0,1.30385160446167e-08,0.0,True
qkv,64,2304,768,predequant_gemm,R02,0.0,1.1175870895385742e-08,0.0,True
qkv,64,2304,768,predequant_gemm,R03,0.0,1.4901161193847656e-08,0.0,True
qkv,64,2304,768,predequant_gemm,R04,0.0,1.0244548320770264e-08,0.0,True
qkv,64,2304,768,fused_int4,R01,1.7293132259510458e-05,1.30385160446167e-08,0.0078125,True
qkv,64,2304,768,fused_int4,R02,2.220237320216256e-06,1.0244548320770264e-08,0.0009765625,True
qkv,64,2304,768,fused_int4,R03,3.6079101846553385e-05,1.3969838619232178e-08,0.015625,True
qkv,64,2304,768,fused_int4,R04,3.509347152430564e-05,9.313225746154785e-09,0.015625,True
