video,start,end,frames,mean_appearance,mean_temporal
01,37,42,6,3.016245938233689,0.015685213981475227
01,184,229,46,2.8922820925955017,0.03071344795454346
02,37,45,9,3.1879672688018847,0.05426347854175591
02,173,255,83,2.903452200792645,0.038350413349700636
03,37,64,28,3.056199912427631,0.019861257328298104
03,260,408,149,3.0676661691759977,0.02681841261169613
04,37,53,17,3.057118294506344,0.005921725055379468
04,144,190,47,2.8732372089106457,0.06452960900605177
05,37,93,57,2.9846644390722488,0.017819631900385147
05,186,289,104,2.9341717861983123,0.026014065205972457
06,230,232,3,3.0846654424033915,0.10587519437495785
07,200,230,31,2.930122938923615,0.0557062817188308
08,224,234,11,2.973600065617663,0.014498988942907548
09,37,228,192,2.729963253045652,0.049086191208617895
10,37,230,194,2.2870760727462773,0.04007225764901618
11,37,55,19,1.3972137141953802,0.024835515195940638
11,66,66,1,1.2037342019939266,0.053579879656547945
11,83,231,149,1.8647304764234274,0.04394496199620759
12,68,69,2,2.154890476660162,0.05959705226151042
12,120,120,1,1.4717886271642742,0.0
12,129,129,1,1.269027627095179,0.0
12,193,193,1,1.4056848737327812,0.005881955243053211
12,198,230,33,1.351253465714585,0.4417254145129208
13,166,167,2,1.3115242684655675,0.11792644175512143
