video,start,end,frames,mean_appearance,mean_temporal
10,310,316,7,0.5022873912463756,1.064427840080208
10,330,335,6,0.3964789191825517,1.3021218111300141
12,492,499,8,0.2668058171484763,1.2431975809567184
12,505,511,7,0.2700595620002056,1.5798233576575065
14,278,282,5,0.259560539370492,1.1831443876313676
14,297,304,8,0.28709346825774806,1.3466110554710775
15,281,294,14,0.30616700107463873,2.2454533495725792
16,299,312,14,0.43145632018841784,2.21562597603187
17,310,326,17,0.8278285679556064,2.06670391710618
17,340,353,14,0.81500955297168,0.9827110839914986
17,372,378,7,0.8642638943782599,0.5226982449624639
17,448,454,7,1.2840288637609654,0.04025945570284601
17,458,459,2,1.3534129675155073,0.0
17,464,522,59,1.4419986632074528,0.024087281536842205
17,526,529,4,1.271419241722542,0.04025945570284601
17,533,540,8,1.2484260315756406,0.08574902436668656
17,545,546,2,1.233707750863876,0.04526557517789495
17,550,551,2,1.2847755289996972,0.00922961110763726
17,558,558,1,1.2857655237435632,0.0
17,566,566,1,1.3243608181655504,0.025211411394019764
17,570,570,1,1.3191480762008438,0.04025945570284601
17,574,608,35,1.3209596412451392,0.06147892535697782
17,612,616,5,1.2799226652840923,0.04025945570284601
17,623,623,1,1.2845225742841095,0.0
17,627,712,86,1.7233213270226586,0.09440048249238758
